"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2023-04-25,3533811,313,283,34386,1,2
"2",2023-04-24,3533498,340,293,34385,3,2
"3",2023-04-23,3533158,203,301,34382,1,2
"4",2023-04-22,3532955,213,301,34381,4,3
"5",2023-04-21,3532742,267,305,34377,0,3
"6",2023-04-20,3532475,328,315,34377,0,3
"7",2023-04-19,3532147,316,324,34377,6,3
"8",2023-04-18,3531831,383,342,34371,2,3
"9",2023-04-17,3531448,395,352,34369,2,3
"10",2023-04-16,3531053,204,385,34367,5,4
"11",2023-04-15,3530849,242,386,34362,3,4
"12",2023-04-14,3530607,335,394,34359,3,4
"13",2023-04-13,3530272,391,400,34356,2,4
"14",2023-04-12,3529881,442,401,34354,3,4
"15",2023-04-11,3529439,453,395,34351,5,5
"16",2023-04-10,3528986,630,389,34346,5,5
"17",2023-04-09,3528356,208,364,34341,5,5
"18",2023-04-08,3528148,297,366,34336,2,6
"19",2023-04-07,3527851,379,363,34334,5,6
"20",2023-04-06,3527472,399,362,34329,6,6
"21",2023-04-05,3527073,396,367,34323,5,6
"22",2023-04-04,3526677,411,373,34318,7,6
"23",2023-04-03,3526266,459,387,34311,6,6
"24",2023-04-02,3525807,220,388,34305,8,5
"25",2023-04-01,3525587,280,395,34297,6,5
"26",2023-03-31,3525307,372,391,34291,6,5
"27",2023-03-30,3524935,433,394,34285,5,4
"28",2023-03-29,3524502,437,396,34280,5,4
"29",2023-03-28,3524065,511,395,34275,4,4
"30",2023-03-27,3523554,461,394,34271,2,4
"31",2023-03-26,3523093,271,412,34269,6,4
"32",2023-03-25,3522822,249,411,34263,6,5
"33",2023-03-24,3522573,399,427,34257,3,5
"34",2023-03-23,3522174,442,449,34254,3,6
"35",2023-03-22,3521732,431,478,34251,4,7
"36",2023-03-21,3521301,503,498,34247,4,7
"37",2023-03-20,3520798,589,507,34243,5,8
"38",2023-03-19,3520209,263,533,34238,7,10
"39",2023-03-18,3519946,365,547,34231,8,10
"40",2023-03-17,3519581,548,556,34223,9,9
"41",2023-03-16,3519033,648,559,34214,11,9
"42",2023-03-15,3518385,570,564,34203,7,9
"43",2023-03-14,3517815,567,580,34196,9,10
"44",2023-03-13,3517248,772,595,34187,16,10
"45",2023-03-12,3516476,359,603,34171,7,8
"46",2023-03-11,3516117,426,615,34164,6,8
"47",2023-03-10,3515691,574,622,34158,10,9
"48",2023-03-09,3515117,678,633,34148,11,9
"49",2023-03-08,3514439,687,656,34137,13,9
"50",2023-03-07,3513752,666,672,34124,8,9
"51",2023-03-06,3513086,830,719,34116,4,9
"52",2023-03-05,3512256,442,745,34112,5,10
"53",2023-03-04,3511814,475,758,34107,11,12
"54",2023-03-03,3511339,652,765,34096,9,11
"55",2023-03-02,3510687,843,777,34087,15,11
"56",2023-03-01,3509844,793,794,34072,8,11
"57",2023-02-28,3509051,996,833,34064,13,11
"58",2023-02-27,3508055,1016,866,34051,12,10
"59",2023-02-26,3507039,529,872,34039,14,9
"60",2023-02-25,3506510,526,887,34025,8,9
"61",2023-02-24,3505984,737,905,34017,7,10
"62",2023-02-23,3505247,961,935,34010,13,10
"63",2023-02-22,3504286,1065,937,33997,7,10
"64",2023-02-21,3503221,1229,934,33990,6,10
"65",2023-02-20,3501992,1058,909,33984,10,11
"66",2023-02-19,3500934,634,928,33974,11,11
"67",2023-02-18,3500300,650,935,33963,15,11
"68",2023-02-17,3499650,946,945,33948,6,10
"69",2023-02-16,3498704,976,941,33942,13,11
"70",2023-02-15,3497728,1046,942,33929,9,11
"71",2023-02-14,3496682,1053,950,33920,14,12
"72",2023-02-13,3495629,1190,951,33906,12,11
"73",2023-02-12,3494439,683,961,33894,9,11
"74",2023-02-11,3493756,719,960,33885,7,12
"75",2023-02-10,3493037,920,948,33878,12,12
"76",2023-02-09,3492117,985,939,33866,11,12
"77",2023-02-08,3491132,1098,934,33855,17,12
"78",2023-02-07,3490034,1064,924,33838,10,12
"79",2023-02-06,3488970,1256,938,33828,13,12
"80",2023-02-05,3487714,675,935,33815,13,12
"81",2023-02-04,3487039,638,932,33802,10,12
"82",2023-02-03,3486401,857,933,33792,10,13
"83",2023-02-02,3485544,948,949,33782,12,13
"84",2023-02-01,3484596,1028,937,33770,13,14
"85",2023-01-31,3483568,1164,928,33757,14,15
"86",2023-01-30,3482404,1235,911,33743,13,16
"87",2023-01-29,3481169,656,890,33730,11,15
"88",2023-01-28,3480513,643,883,33719,15,15
"89",2023-01-27,3479870,972,870,33704,16,15
"90",2023-01-26,3478898,861,849,33688,16,15
"91",2023-01-25,3478037,962,853,33672,19,15
"92",2023-01-24,3477075,1049,853,33653,19,15
"93",2023-01-23,3476026,1087,875,33634,10,15
"94",2023-01-22,3474939,605,848,33624,10,17
"95",2023-01-21,3474334,556,855,33614,13,18
"96",2023-01-20,3473778,822,865,33601,21,18
"97",2023-01-19,3472956,890,885,33580,16,19
"98",2023-01-18,3472066,959,915,33564,19,20
"99",2023-01-17,3471107,1205,957,33545,17,19
"100",2023-01-16,3469902,901,956,33528,21,20
"101",2023-01-15,3469001,655,1047,33507,19,19
"102",2023-01-14,3468346,621,1087,33488,16,19
"103",2023-01-13,3467725,967,1152,33472,23,19
"104",2023-01-12,3466758,1096,1238,33449,22,19
"105",2023-01-11,3465662,1255,1318,33427,17,19
"106",2023-01-10,3464407,1198,1415,33410,21,19
"107",2023-01-09,3463209,1539,1587,33389,18,19
"108",2023-01-08,3461670,936,1653,33371,13,19
"109",2023-01-07,3460734,1070,1660,33358,16,20
"110",2023-01-06,3459664,1573,1688,33342,23,20
"111",2023-01-05,3458091,1657,1779,33319,28,20
"112",2023-01-04,3456434,1930,1896,33291,15,19
"113",2023-01-03,3454504,2401,2032,33276,22,19
"114",2023-01-02,3452103,2006,2144,33254,18,20
"115",2023-01-01,3450097,980,2228,33236,16,21
"116",2022-12-31,3449117,1272,2214,33220,15,22
"117",2022-12-30,3447845,2206,2230,33205,29,22
"118",2022-12-29,3445639,2476,2239,33176,17,22
"119",2022-12-28,3443163,2882,2242,33159,17,23
"120",2022-12-27,3440281,3183,2210,33142,26,24
"121",2022-12-26,3437098,2595,2167,33116,25,23
"122",2022-12-25,3434503,885,2229,33091,24,21
"123",2022-12-24,3433618,1384,2310,33067,18,20
"124",2022-12-23,3432234,2267,2349,33049,28,20
"125",2022-12-22,3429967,2495,2338,33021,21,19
"126",2022-12-21,3427472,2660,2359,33000,23,18
"127",2022-12-20,3424812,2881,2383,32977,20,18
"128",2022-12-19,3421931,3031,2399,32957,12,18
"129",2022-12-18,3418900,1453,2472,32945,21,20
"130",2022-12-17,3417447,1653,2493,32924,17,20
"131",2022-12-16,3415794,2193,2523,32907,21,22
"132",2022-12-15,3413601,2642,2603,32886,11,21
"133",2022-12-14,3410959,2828,2654,32875,23,23
"134",2022-12-13,3408131,2996,2710,32852,21,22
"135",2022-12-12,3405135,3540,2770,32831,24,22
"136",2022-12-11,3401595,1596,2874,32807,24,22
"137",2022-12-10,3399999,1866,2948,32783,27,21
"138",2022-12-09,3398133,2751,3016,32756,17,19
"139",2022-12-08,3395382,2998,3074,32739,22,19
"140",2022-12-07,3392384,3223,3188,32717,19,17
"141",2022-12-06,3389161,3417,3343,32698,20,16
