plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-2485.277773254998,-2485.1113542356816,-2453.6128371119516,0.2488365785851837,0.0386215742428135,0.7594285732699786,0.35200326071738935,0.2488365785851837,0.0386215742428135,0.5466425199035589,NA,0.9427312775330396,NA,0.807942955920484,0.807942955920484,NA
dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,NULL,-2485.9168870534563,-2485.7026013391705,-2449.728388604262,0.2506317917862919,0.03854681062842364,0.7579584720086567,0.3513218530698711,0.2506317917862919,0.03854681062842364,0.550664540230221,NA,0.947136563876652,NA,0.8114261019878998,0.8114261019878998,NA
dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,-2387.8019846875104,-2387.742813089877,-2369.707735462913,0.12944106255609922,0.04167012526656572,0.8193732233754745,0.3797882467481904,0.12944106255609922,0.04167012526656572,0.4604330240458952,NA,0.9353891336270191,NA,0.7613656006914434,0.7613656006914434,NA
dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,-2617.3605130112464,-2616.814785874815,-2558.5542030313027,0.3866249217501214,0.03474457405702248,0.6831938578968584,0.31666765532180396,0.3866249217501214,0.03474457405702248,0.6146997484960636,NA,0.9412628487518355,NA,0.8369576490924805,0.8369576490924805,NA
dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,-2465.407239906842,-2465.2408208875254,-2433.7423037637955,0.22659588777150375,0.039189163610591736,0.7705892675768722,0.3571763618175766,0.22659588777150375,0.039189163610591736,0.47572059970563585,NA,0.9427312775330396,NA,0.7281849611063094,0.7281849611063094,NA
dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,-2452.6442184496427,-2452.519589369524,-2425.502844612746,0.21081579763399805,0.03961625416976019,0.7789872881227781,0.361068934101237,0.21081579763399805,0.03961625416976019,0.47966123199851796,NA,0.9427312775330396,NA,0.7273379429559205,0.7273379429559205,NA
dmskw_sym_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_mean_ct_NA + sm_mean_ct_TRUE + sm_skew_ct_FALSE + sm_skew_ct_NA + sm_skew_ct_TRUE) + var_era,model_dat_daily,NULL,-1967.5789012910172,-1967.0498431747849,-1920.9788357987766,0.46497012836706597,0.034538213651427674,0.6791361261375313,0.3147868532810676,0.46497012836706597,0.034538213651427674,0.6961577474415789,NA,0.9432485322896281,NA,0.8969860825217364,0.8969860825217364,NA
dmskw_asyn_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_mean_ct_NA + sm_skew_ct_FALSE + sm_skew_ct_NA) + var_era,model_dat_daily,NULL,-1952.608785459365,-1952.249504022239,-1914.481459147532,0.44694247174935187,0.035185290449155894,0.6918598076271921,0.3206844156461564,0.44694247174935187,0.035185290449155894,0.6559152842211116,NA,0.9275929549902152,NA,0.8641048880149927,0.8641048880149927,NA
dmskw_nv_,,gr_roll,growing,(sm_mean_ct_TRUE + sm_skew_ct_TRUE) + var_era,model_dat_daily,NULL,-2393.5152947194565,-2393.3440408968268,-2362.0484358278973,0.22053842689211522,0.0392696407190152,0.7721717151292865,0.357909843171808,0.22053842689211522,0.0392696407190152,0.47254946543305165,NA,0.947129909365559,NA,0.7370019269934336,0.7370019269934336,NA
dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-2660.448980609931,-2659.558758020449,-2584.9506383129856,0.42874103233751926,0.03347948216956932,0.6583179447322689,0.30513740368858655,0.42874103233751926,0.03347948216956932,0.6493980662420773,NA,0.9544787077826725,NA,0.8430682800345721,0.8430682800345721,NA
