mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,daily,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC
1,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,TRUE,-1476.749816930067,-1476.5229933799171,-1453.8780489084556,0.25423547160100607,0.03530642652599432,0.7118449525449515,0.3401591997873371,-41.10591814259231,0.03900703178526155,0.5473681475448265,-0.003404761904761905,0.17067572371450812,0.8979591836734694,0.809785763322501,0.7157328782328782
2,dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,NULL,TRUE,-1484.7783675325143,-1484.4658748115748,-1458.0529288885832,0.28655542715223437,0.03460257834662086,0.6961101716362748,0.33237051335002554,-27.279637413786624,0.03907791841245345,0.574970638155219,0.010785714285714282,0.20325173739813004,0.8826530612244898,0.8195780811025208,0.7460627335627336
3,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,TRUE,-1425.0211684153212,-1424.884507623379,-1409.6064859260396,0.1770599578489473,0.037415622380811794,0.7517947867025385,0.35819797054810826,-33.29892446165195,0.03764266847204002,0.49658329800384,0.0031428571428571434,0.16012370493596814,0.9075963718820862,0.778186005989358,0.7150835275835276
4,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,TRUE,-1532.159539199318,-1531.6389489384526,-1494.3736001130505,0.3251622070031081,0.03318231057842556,0.6715798163480765,0.32160021201327604,-9.670234872359554,0.04062780565421442,0.5900247180893204,-0.025071428571428574,0.22322971491170038,0.8939909297052154,0.8250151292392967,0.7034525659525659
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,TRUE,-1456.8538273639263,-1456.6270038137764,-1433.9820593423146,0.21939464306961015,0.03618199174174227,0.7283455847762295,0.34789419878834743,-4.5468809866441156,0.03922906628973707,0.4378163332420407,-0.027714285714285712,0.190640876412885,0.8707482993197279,0.736705351638206,0.7153661153661154
6,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,TRUE,-1446.7282805166533,-1446.5727417189719,-1427.7101831173622,0.18748723319464206,0.03690039654530082,0.7436068754009348,0.35540034746183197,-4.362291396235445,0.038956209028970346,0.4212383466475185,-0.02823809523809524,0.16358812550607083,0.8860544217687075,0.7094411937961572,0.7503519628519628
7,dmskw_sym_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_mean_ct_NA + sm_mean_ct_TRUE + sm_skew_ct_FALSE + sm_skew_ct_NA + sm_skew_ct_TRUE) + var_era,model_dat_daily,NULL,TRUE,-1009.6694965164934,-1007.0208270534118,-977.3464752975644,0.43168943868003845,0.029996436694037922,0.6059625915614983,0.2914757685241741,-4.320024378736634,0.03919254343541502,0.7170878668975811,-0.07627777777777778,0.39983933347269257,0.8918512043512044,0.9060441997025603,0.7448705808080808
8,dmskw_asyn_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_mean_ct_NA + sm_skew_ct_FALSE + sm_skew_ct_NA) + var_era,model_dat_daily,NULL,TRUE,-997.1357911790494,-995.8866655452063,-971.3599538204161,0.40687333552247623,0.03105822300760558,0.6278312246344595,0.30215527392396835,-4.040584112040055,0.03732083144505462,0.6778699950497397,0.011555555555555555,0.34130450844623816,0.9056961556961557,0.8831059407913685,0.7124987859362859
9,dmskw_nv_,,gr_roll,growing,(sm_mean_ct_TRUE + sm_skew_ct_TRUE) + var_era,model_dat_daily,NULL,TRUE,-1403.777371354851,-1403.5469929833407,-1381.543678057973,0.24119263189743825,0.03529917345099759,0.7138738057304783,0.34228242424399247,-4.89973743679148,0.040922531737186255,0.5284712336008266,-0.03261538461538462,0.17430880250169395,0.8841158841158842,0.7928952798002722,0.7138048756798757
10,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,TRUE,-1577.140004968876,-1576.0762160799502,-1523.8117588982964,0.42550960256868126,0.030676125739609164,0.6189050943263901,0.2960882305961333,-44.15919297141237,0.03560528514185641,0.6614654631639117,0.029999999999999995,0.2874276672370648,0.9132653061224489,0.8625489291257008,0.7197959447959448
