mdl,idx,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
1,1,dmskw_1_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-08-30'),model_dat_daily %>% filter(coll_date > '2020-08-30' & coll_date <= '2020-09-13'),-432.9419298192986,-432.52955868527795,-422.4420385661615,0.2675504083887976,0.027864032449874555,0.5544221147070109,0.3533955067477412,-0.5138404847944462,0.044769269421812384,0.5595275118602665,-0.037,0.29411764705882354,0.9285714285714286,0.7968812475009995,0.6222222222222222,FALSE
1,2,dmskw_2_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-09-13'),model_dat_daily %>% filter(coll_date > '2020-09-13' & coll_date <= '2020-09-27'),-477.0790282733953,-476.71866791303495,-466.0646675089704,0.18239423708176683,0.029903001658930468,0.6477779471427033,0.3790952078373283,-8.404847327853286,0.02795430748148778,0.4728174374351286,0.222,0.2672413793103448,1,0.743167701863354,0.48484848484848486,FALSE
1,3,dmskw_3_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-09-27'),model_dat_daily %>% filter(coll_date > '2020-09-27' & coll_date <= '2020-10-11'),-541.3729474302862,-541.0529474302862,-529.9028096284638,0.1374189515259716,0.029248955716648012,0.7606190580945777,0.38282936749716834,-3.9456486134684967,0.025975996886043642,0.38585533053844784,0.051,0.26153846153846155,1,0.7166546503244412,0.6666666666666666,FALSE
1,4,dmskw_4_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-10-11'),model_dat_daily %>% filter(coll_date > '2020-10-11' & coll_date <= '2020-10-25'),-606.1906710289314,-605.9029012447588,-594.3114178306274,0.10870934269031318,0.028680293495924547,0.7711481182326209,0.40255223936956175,-0.5780133359075255,0.018537756599281776,0.4269230769230769,0.015,0.25,1,0.7120772946859903,0.75,FALSE
1,5,dmskw_5_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-10-25'),model_dat_daily %>% filter(coll_date > '2020-10-25' & coll_date <= '2020-11-08'),-674.8524897110651,-674.5910518025684,-662.6021095789572,0.09933819054073256,0.027879485884538986,0.7968046583837862,0.3973257243419697,-4.020871941063012,0.05534962603518625,0.4447174222913203,-0.055,0.24050632911392406,0.6428571428571429,0.7162313731773754,NA,FALSE
1,6,dmskw_6_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-11-08'),model_dat_daily %>% filter(coll_date > '2020-11-08' & coll_date <= '2020-11-22'),-707.1934174941309,-706.9538965360471,-694.6034395868777,0.08156491481154737,0.030258166455901854,0.7737398655734828,0.38398143117974237,-4.728365687507447,0.043202288766014736,0.42245349898472484,-0.521,0.2441860465116279,0.8571428571428571,0.7432965836395808,NA,FALSE
1,7,dmskw_7_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-11-22'),model_dat_daily %>% filter(coll_date > '2020-11-22' & coll_date <= '2020-12-06'),-756.5862900121617,-756.3652955370236,-743.683303317309,0.11441991275437735,0.030984195642424377,0.7178508464883004,0.3491892677543913,-0.8797342285511398,0.06137257224153063,0.48244059135899736,-0.222,0.1935483870967742,0.5714285714285714,0.7747545250207027,0.9230769230769231,FALSE
1,8,dmskw_8_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-12-06'),model_dat_daily %>% filter(coll_date > '2020-12-06' & coll_date <= '2020-12-20'),-781.7660688088388,-781.4567904583233,-765.2744819760986,0.11335531139517618,0.03342825745061698,0.755271756492221,0.3649499214007593,-0.10749913783856013,0.01833997323094856,0.4820865521638042,0.846,0.19,1,0.7857291666666667,NA,FALSE
1,9,dmskw_9_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-12-20'),model_dat_daily %>% filter(coll_date > '2020-12-20' & coll_date <= '2021-01-03'),-848.8593106639438,-848.5708491254823,-832.0294305888345,0.12511564524627627,0.032529133831962716,0.7497783897556939,0.3625510198392397,-0.308382311711596,0.04844529030449972,0.4967830018581386,-0.587,0.21495327102803738,0.8571428571428571,0.808115671641791,0.6444444444444445,FALSE
1,10,dmskw_10_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-01-03'),model_dat_daily %>% filter(coll_date > '2021-01-03' & coll_date <= '2021-01-17'),-891.066796870524,-890.7965266002537,-873.9200687257522,0.10801175483284842,0.0335418216751149,0.7897674625871228,0.375407088671079,-0.7782936072050957,0.06638013417869297,0.4796476985897211,-0.257,0.2236842105263158,0.6428571428571429,0.7927601809954751,0.5833333333333333,FALSE
1,11,dmskw_11_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-01-17'),model_dat_daily %>% filter(coll_date > '2021-01-17' & coll_date <= '2021-01-31'),-915.3341399080047,-915.079902619869,-897.8894512772213,0.13642978924577887,0.035764985254557596,0.7837398794743313,0.3896229506578703,-4.350291597938183,0.0542324348432673,0.4602633908556202,-0.24,0.2024793388429752,0.7857142857142857,0.7978670458585141,NA,FALSE
1,12,dmskw_12_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-01-31'),model_dat_daily %>% filter(coll_date > '2021-01-31' & coll_date <= '2021-02-14'),-956.7627697959015,-956.5227697959015,-939.0368825735037,0.1789342026957701,0.0366205006637673,0.7480121952373301,0.35067090518964755,-2.101101449721252,0.036221716893241426,0.46807621881437395,0.547,0.1796875,1,0.7940354147250699,NA,FALSE
1,13,dmskw_13_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-02-14'),model_dat_daily %>% filter(coll_date > '2021-02-14' & coll_date <= '2021-02-28'),-1012.807932418872,-1012.5806596915993,-994.8158226238802,0.2905844257953065,0.03640579561055846,0.6575325298737112,0.3153466497053713,-0.5032125366029261,0.023247093977849013,0.5371117726047148,0.464,0.14444444444444443,1,0.8134068965517242,NA,FALSE
1,14,dmskw_14_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-02-28'),model_dat_daily %>% filter(coll_date > '2021-02-28' & coll_date <= '2021-03-14'),-1074.7910948154624,-1074.575267477333,-1056.546223624657,0.32686415013596937,0.03583672727227848,0.58229606754212,0.3236656910311216,-13.180665564665443,0.029598127038002898,0.5781447846461323,0.051,0.15492957746478872,1,0.8219796576531878,NA,FALSE
1,15,dmskw_15_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-03-14'),model_dat_daily %>% filter(coll_date > '2021-03-14' & coll_date <= '2021-03-28'),-1134.2776079153527,-1134.072128463298,-1115.7921404828257,0.3154339336312527,0.03547711616070527,0.6014644862724755,0.3238744808103712,-3.4501914727938434,0.028531650728890096,0.5935286060760235,0.657,0.14429530201342283,1,0.8330403425738111,0.75,FALSE
1,16,dmskw_16_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-03-28'),model_dat_daily %>% filter(coll_date > '2021-03-28' & coll_date <= '2021-04-11'),-1194.0959996695635,-1193.899921238191,-1175.3809837305162,0.3010036994953279,0.03513422479067891,0.6423015948952393,0.32566544297825056,-5.193443027607755,0.028101573404972463,0.5861003793880324,0.565,0.1346153846153846,1,0.8269856301725202,0.7708333333333334,FALSE
1,17,dmskw_17_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-04-11'),model_dat_daily %>% filter(coll_date > '2021-04-11' & coll_date <= '2021-04-25'),-1254.052450147569,-1253.864950147569,-1235.1179632407368,0.2855978943595281,0.03481631135335689,0.6856794370495676,0.32631726030604064,-1.0051904382363235,0.02019160748475782,0.5744175675734182,-0.574,0.13496932515337423,1,0.8230145255612148,NA,FALSE
1,18,dmskw_18_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-04-25'),model_dat_daily %>% filter(coll_date > '2021-04-25' & coll_date <= '2021-05-09'),-1317.7983033102728,-1317.6186625917098,-1298.6535752222217,0.2886753450658637,0.03433523828618169,0.6750151170636711,0.32471062652066396,-0.9654252581660849,0.019690913051311588,0.5782426369452615,0.108,0.1411764705882353,1,0.8292589363557106,0.7083333333333333,FALSE
1,19,dmskw_19_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-05-09'),model_dat_daily %>% filter(coll_date > '2021-05-09' & coll_date <= '2021-05-23'),-1382.117859800999,-1381.9454460078955,-1362.7713752353302,0.2885386097677215,0.033870640670218666,0.7095704935085495,0.3246998908487528,-1.617825591256294,0.03087246268250035,0.5793653552370062,0.051,0.12994350282485875,1,0.8255035726987617,0.6538461538461539,FALSE
1,20,dmskw_20_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-05-23'),model_dat_daily %>% filter(coll_date > '2021-05-23' & coll_date <= '2021-06-06'),-1440.4605055319512,-1440.2947596755976,-1420.9200908411065,0.27951226676817753,0.033719704281198415,0.7082189568120271,0.32714405192233226,-1.3207263669080325,0.05142409502782366,0.5727560029754607,-0.022,0.14130434782608695,0.7857142857142857,0.8257534659433394,0.5333333333333333,FALSE
1,21,dmskw_21_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-06-06'),model_dat_daily %>% filter(coll_date > '2021-06-06' & coll_date <= '2021-06-20'),-1479.361973731298,-1479.137973731298,-1455.6894500796584,0.2440871156539346,0.03435584889023504,0.7518269126624366,0.33448737274380796,-1.5235123860291937,0.02909530950442975,0.5291718752077139,-0.38,0.1518324607329843,1,0.7982592953627629,0.8787878787878788,FALSE
1,22,dmskw_22_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-06-20'),model_dat_daily %>% filter(coll_date > '2021-06-20' & coll_date <= '2021-07-04'),-1538.491871905517,-1538.275933602175,-1514.60338663799,0.24047030246254408,0.03416237828151198,0.7407167956136482,0.34562786608193546,-5.545618369818373,0.08168895883700912,0.5252573035671267,-0.16,0.1590909090909091,0.5,0.7938485723121328,NA,FALSE
