mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,in_cover,out_cover,inf_cover,in_AUC,out_AUC,inf_AUC
1,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,-2485.277773254998,-2485.1113542356816,-2453.6128371119516,0.2488365785851837,0.0386215742428135,0.7594285732699786,0.35200326071738935,0.5466425199035589,0.04350940021578866,0.03476388516360984,0.429,0.05064606283927765,-0.20216865720662414,0.383,0.9427312775330396,0.8946428571428572,0.8163265306122449,0.807942955920484,0.7478281945631514,0.7332691381800673
2,dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,-2485.9168870534563,-2485.7026013391705,-2449.728388604262,0.2506317917862919,0.03854681062842364,0.7579584720086567,0.3513218530698711,0.550664540230221,0.04423930438377585,0.002107062540321558,0.463,0.049764082166684764,-0.16066267606469475,0.407,0.947136563876652,0.8767857142857143,0.826530612244898,0.8114261019878998,0.7657129007156434,0.7477130476649013
3,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,-2387.8019846875104,-2387.742813089877,-2369.707735462913,0.12944106255609922,0.04167012526656572,0.8193732233754745,0.3797882467481904,0.4604330240458952,0.042525798946595944,0.07791207876790929,0.408,0.050404268326277,-0.19071726724312055,0.142,0.9353891336270191,0.9053571428571429,0.826530612244898,0.7613656006914434,0.7403911163271294,0.6119402985074627
4,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,-2617.3605130112464,-2616.814785874815,-2558.5542030313027,0.3866249217501214,0.03474457405702248,0.6831938578968584,0.31666765532180396,0.6146997484960636,0.04672051792203637,-0.11296797236219391,0.49,0.052064503924498275,-0.270449747898458,0.407,0.9412628487518355,0.8892857142857142,0.8061224489795918,0.8369576490924805,0.7788075161689479,0.7481945113143957
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,-2465.407239906842,-2465.2408208875254,-2433.7423037637955,0.22659588777150375,0.039189163610591736,0.7705892675768722,0.3571763618175766,0.47572059970563585,0.045539203801981155,-0.05739739547764966,0.24,0.05252857728977472,-0.29319881661288494,0.332,0.9427312775330396,0.8642857142857143,0.8061224489795918,0.7281849611063094,0.637879348394586,0.692344727973038
6,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,-2452.6442184496427,-2452.519589369524,-2425.502844612746,0.21081579763399805,0.03961625416976019,0.7789872881227781,0.361068934101237,0.47966123199851796,0.04478491169290672,-0.022658928279078783,0.287,0.05137539347840923,-0.2370417125611226,0.324,0.9427312775330396,0.8821428571428571,0.8469387755102041,0.7273379429559205,0.6344478320215331,0.6769378911892152
7,dmskw_sym_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_mean_ct_NA + sm_mean_ct_TRUE + sm_skew_ct_FALSE + sm_skew_ct_NA + sm_skew_ct_TRUE) + var_era,model_dat_daily,-1967.5789012910172,-1967.0498431747849,-1920.9788357987766,0.46497012836706597,0.034538213651427674,0.6791361261375313,0.3147868532810676,0.6961577474415789,0.04382928194194427,0.07941556479565881,0.577,0.052599325787410646,-0.31743997511452804,0.469,0.9432485322896281,0.8935281837160751,0.7888888888888889,0.8969860825217364,0.8398305380243384,0.758352534562212
8,dmskw_asyn_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_mean_ct_NA + sm_skew_ct_FALSE + sm_skew_ct_NA) + var_era,model_dat_daily,-1952.608785459365,-1952.249504022239,-1914.481459147532,0.44694247174935187,0.035185290449155894,0.6918598076271921,0.3206844156461564,0.6559152842211116,0.040025898497178775,0.2322548247150864,0.572,0.04439656094301656,0.06142465400588082,0.498,0.9275929549902152,0.906054279749478,0.8555555555555555,0.8641048880149927,0.8195630949475226,0.7845622119815668
9,dmskw_nv_,,gr_roll,growing,(sm_mean_ct_TRUE + sm_skew_ct_TRUE) + var_era,model_dat_daily,-2393.5152947194565,-2393.3440408968268,-2362.0484358278973,0.22053842689211522,0.0392696407190152,0.7721717151292865,0.357909843171808,0.47254946543305165,0.04478065952467413,-0.030108984023414553,0.362,0.051710409255117766,-0.31507822759461845,0.353,0.947129909365559,0.88354898336414045,0.8,0.7370019269934336,0.7053654530522858,0.7202194357366771
10,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,-2660.448980609931,-2659.558758020449,-2584.9506383129856,0.42874103233751926,0.03347948216956932,0.6583179447322689,0.30513740368858655,0.6493980662420773,0.03895148386789657,0.22640191915523855,0.556,0.047127026067719915,-0.04091218195887336,0.394,0.9544787077826725,0.9125,0.8367346938775511,0.8430682800345721,0.7844395402533454,0.7722676937891189
