plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-3465.598395550656,-3465.4905995930044,-3430.9226060745623,0.15900227593857919,0.0459299503102639,0.9661706060040538,0.42175802331733814,0.15900227593857919,0.0459299503102639,0.48420145460927266,NA,0.9465138490926457,NA,0.7637651229942615,0.7637651229942615,NA
dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,NULL,-3473.057073801552,-3472.9183454778527,-3433.4276001145877,0.1657643189942153,0.04572295082874064,0.961816218221031,0.41985722238972517,0.1657643189942153,0.04572295082874064,0.4759998619256623,NA,0.9493791786055397,NA,0.7640209802989876,0.7640209802989876,NA
dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,-3423.415112258767,-3423.376724542836,-3403.6003754152853,0.12192537722539376,0.0469990590087819,0.9886601012496107,0.43157525952927367,0.12192537722539376,0.0469990590087819,0.42904430253133496,NA,0.9455587392550143,NA,0.727458971453635,0.727458971453635,NA
dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,-3497.732039682953,-3497.3796679501365,-3433.3341449416466,0.18904153441565696,0.04497204963791768,0.9460204541567172,0.41296196994967727,0.18904153441565696,0.04497204963791768,0.523473540021418,NA,0.9455587392550143,NA,0.7885247998830367,0.7885247998830367,NA
dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,-3467.5049605836343,-3467.397164625983,-3432.829171107541,0.1605323216358362,0.045888150604317175,0.965291318154785,0.42137419182533237,0.1605323216358362,0.045888150604317175,0.5005817059966412,NA,0.9493791786055397,NA,0.7693355020285829,0.7693355020285829,NA
dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,-3466.440554894358,-3466.3597856635884,-3436.7184496291347,0.15887972413609885,0.045955353495018315,0.9667049808562539,0.4219912915206697,0.15887972413609885,0.045955353495018315,0.48715085224387467,NA,0.9474689589302769,NA,0.7616451624693885,0.7616451624693885,NA
dmskw_h_,,gr_roll_hosp,growing_hosp,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-3867.246580235027,-3867.1332199111407,-3832.9203494319354,0.1706687719038532,0.03448070140042009,0.7367047868451595,0.3772872431186808,0.1706687719038532,0.03448070140042009,0.45839107077745533,NA,0.9508032128514057,NA,0.7353651554007193,0.7353651554007193,NA
dmskw_w_,,gr_roll_ww,growing_ww,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-1475.0279621988836,-1474.9192243348061,-1440.4126047528036,0.021271678850046882,0.11810317125883046,1.2639059685070757,0.6153381878053515,0.021271678850046882,0.11810317125883046,0.24046377838610677,NA,0.9788053949903661,NA,0.6307589028125046,0.6307589028125046,NA
dmskw_o_,,gr_roll,growing,(sm_mean_ct_O + sm_skew_ct_O) + var_era,model_dat_daily,NULL,-3372.2757126297283,-3372.164380621776,-3337.8241053406705,0.16377110815871287,0.04556115758846626,0.95841277728658,0.4183715339284211,0.16377110815871287,0.04556115758846626,0.4959326000024231,NA,0.9457593688362919,NA,0.7702249423424546,0.7702249423424546,NA
dmskw_b_,,gr_roll,growing,(sm_mean_ct_BRD + sm_skew_ct_BRD) + var_era,model_dat_daily,NULL,-3098.6715373112615,-3098.5527674279106,-3064.6689388734444,0.13471443732437982,0.047100858436597066,0.9908015277958759,0.43251004663790604,0.13471443732437982,0.047100858436597066,0.4672957948677054,NA,0.9495268138801262,NA,0.7506943830163645,0.7506943830163645,NA
dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-3492.7403320723042,-3492.433387767866,-3432.768550587902,0.18551864748361224,0.04511786925470677,0.9490878780613521,0.41430097843809083,0.18551864748361224,0.04511786925470677,0.523044747263399,NA,0.9493791786055397,NA,0.7850780364779415,0.7850780364779415,NA
dmskw_a_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era + sm_mean_age",model_dat_daily,NULL,-3514.327009726828,-3513.958527853399,-3448.4295294959056,0.20286729512373203,0.04460415588754469,0.9382815359706128,0.4095837354882862,0.20286729512373203,0.04460415588754469,0.5318671100339817,NA,0.9522445081184336,NA,0.7915914324353961,0.7915914324353961,NA
dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,NULL,-3467.209057633801,-3467.014587412379,-3419.8947932586993,0.16329373582927986,0.04578293567073644,0.9630780439088589,0.42040804136989507,0.16329373582927986,0.04578293567073644,0.47763841558625075,NA,0.9474689589302769,NA,0.7458331810373187,0.7458331810373187,NA
dmskv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-3556.3873494339423,-3554.657923467215,-3411.9536271569295,0.24792159537452918,0.0430601725814077,0.905802700777596,0.39540589852498803,0.24792159537452918,0.0430601725814077,0.5752564486305525,NA,0.944603629417383,NA,0.8149438941481779,0.8149438941481779,NA
dmsdw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily,NULL,-3527.6628084797544,-3527.2802756675515,-3460.484291474583,0.21345316024617778,0.044310047872872335,0.9320947555180519,0.406883048592871,0.21345316024617778,0.044310047872872335,0.5337045206947078,NA,0.9512893982808023,NA,0.7964161701816587,0.7964161701816587,NA
dmw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + var_era",model_dat_daily,NULL,-3484.251333493218,-3484.0875779479766,-3441.0092885939926,0.17570765375851405,0.045447507190470374,0.9560220567836721,0.4173279236722771,0.17570765375851405,0.045447507190470374,0.4943828242798729,NA,0.9474689589302769,NA,0.7667184473116708,0.7667184473116708,NA
dmskw_h_cr_,,gr_roll_hosp,growing_hosp,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-3942.081324755527,-3941.499687637346,-3861.7699766019728,0.23908080096848694,0.032898166863566836,0.7028928073523822,0.35997117736886436,0.23908080096848694,0.032898166863566836,0.5075780607360145,NA,0.9528112449799196,NA,0.7505302333833325,0.7505302333833325,NA
dmskw_w_cr_,,gr_roll_ww,growing_ww,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-1477.3798451791251,-1477.27263588329,-1443.0239886713553,0.023825306754549413,0.11797541311590887,1.262538737825267,0.6146725455257682,0.023825306754549413,0.11797541311590887,0.2504887910645518,NA,0.9807321772639692,NA,0.641651625216375,0.641651625216375,NA
dmskw_o_cr_,,gr_roll,growing,"s(sm_mean_ct_O, bs='cs') + s(sm_skew_ct_O, bs='cs') + var_era",model_dat_daily,NULL,-3432.3710405969464,-3431.883313273528,-3358.016203655703,0.21928099336126328,0.0438786119431492,0.9230191804116845,0.402921329416627,0.21928099336126328,0.0438786119431492,0.5464774246327269,NA,0.9467455621301775,NA,0.8043636632799351,0.8043636632799351,NA
dmskw_b_cr_,,gr_roll,growing,"s(sm_mean_ct_BRD, bs='cs') + s(sm_skew_ct_BRD, bs='cs') + var_era",model_dat_daily,NULL,-3152.8352743061696,-3152.299458324096,-3078.359442432026,0.19113908968218296,0.045379142200304805,0.9545839484571546,0.41670015284035666,0.19113908968218296,0.045379142200304805,0.5163153317191294,NA,0.953732912723449,NA,0.7864263600176913,0.7864263600176913,NA
dmskw_tt_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1992.1538559469425,-1991.973210785652,-1961.056074781665,0.17145319260372072,0.048987271107268276,0.9146120726985525,0.4090420852052467,-0.31278819248562373,0.04917007447203789,0.4815929227581168,0.424,0.9522292993630573,0.9284009546539379,0.7765501336015525,0.7488290398126464,FALSE
dmskw_a_tt_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1995.8829044556755,-1995.6502711761925,-1960.34258312393,0.1776552969559353,0.04876433213203535,0.9104497122809536,0.40718055217346966,-0.6438139186201726,0.055021175142116935,0.47673179283011097,0.366,0.9570063694267515,0.9212410501193318,0.7761539008605363,0.7531850117096018,FALSE
dmsk_tt_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1949.8166875141671,-1949.7524820567032,-1932.0465268482944,0.10945664448250758,0.05090929387517292,0.950497011536598,0.42509091142122735,0.10702268540068038,0.040553071013768906,0.4200257568840141,0.426,0.9522292993630573,0.964200477326969,0.739883365336747,0.7334894613583138,FALSE
dmskv_tt_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2026.609700499961,-2026.0168666237396,-1968.8566783358854,0.22303742260574422,0.0472084713225305,0.8814011646144446,0.39418916613738236,-100.66293412402987,0.4326979673257626,0.5428657962367595,-0.415,0.9554140127388535,0.028639618138424822,0.7989830026313918,0.755152224824356,FALSE
dmsdw_tt_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1991.703484523261,-1991.5228393619707,-1960.6057033579837,0.1708587855317224,0.04900483991542035,0.9149400894195416,0.40918878416925636,-0.3827957604113654,0.05046410261758488,0.4895474901946413,0.465,0.9554140127388535,0.9260143198090692,0.7748432848710212,0.7672599531615926,FALSE
dmw_tt_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1993.4827769241106,-1993.3475112236274,-1966.8275359253014,0.17189868919244067,0.04901345193047228,0.9151008792075563,0.4092606942086408,-0.3457343157617754,0.049783244648426546,0.48817879314502793,0.44,0.9538216560509554,0.9284009546539379,0.7766415719264023,0.7489227166276347,FALSE
dmskw_h_tt_,,gr_roll_hosp,growing_hosp,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2130.445718123615,-2130.2488815682545,-2099.940822258059,0.16146890604926345,0.03773337166600711,0.7454578941297542,0.3818759199059554,0.021024725832720303,0.03212688154620179,0.4338268890952172,0.486,0.9480069324090121,0.9785202863961814,0.7281448996755977,0.7402023332118118,FALSE
dmskw_w_tt_,,gr_roll_ww,growing_ww,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-623.4016183937199,-623.2183123380735,-592.4048814849277,0.01906042162162558,0.1445973172673524,1.2893415011798066,0.6477310441524877,-0.9476464248748271,0.08411655040246985,0.278848989431495,0.248,0.9773828756058158,1,0.6458717975313765,0.6141443167305236,FALSE
dmskw_o_tt_,,gr_roll,growing,(sm_mean_ct_O + sm_skew_ct_O) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1898.269393128325,-1898.078592446894,-1867.5494632895056,0.181768032385779,0.048514740321463246,0.9057897326977662,0.4050964688526615,-0.262252651900696,0.04821439049790316,0.513439585284713,0.457,0.957983193277311,0.9260143198090692,0.7803854258717966,0.749344262295082,FALSE
dmskw_b_tt_,,gr_roll,growing,(sm_mean_ct_BRD + sm_skew_ct_BRD) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1864.6784993388524,-1864.4853958905765,-1834.041410703562,0.1580840049658756,0.04897456173529119,0.9143747836072453,0.4089359623717504,-0.4523417592126946,0.05425396064923026,0.48884207508178934,0.386,0.9591836734693877,0.9118457300275482,0.766565635451505,0.7213036809815951,FALSE
dmskw_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2000.0868269911539,-1999.8501748975175,-1964.2250679165727,0.18390887901342612,0.04859578799809524,0.9073029254483783,0.4057732142581771,-0.19908144551006024,0.0469924271144421,0.49388435425747174,0.44,0.9570063694267515,0.9331742243436754,0.7902557225151635,0.7538173302107728,FALSE
dmskw_a_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era + sm_mean_age",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2001.83167978395,-2001.390528297516,-1952.2276935652203,0.19084922292107354,0.04828987770287799,0.9015914570843656,0.40321887346284235,-0.3737041413644484,0.05029793309696585,0.5082817642324716,0.489,0.9538216560509554,0.9379474940334129,0.7909770693000904,0.7717096018735363,FALSE
dmsk_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1978.3436315966435,-1978.0467411685083,-1937.9591758013867,0.15748988794483731,0.04936428733123476,0.9216511173778918,0.412190158141781,0.09535741153102895,0.04081709101500404,0.48359490080128653,0.454,0.9538216560509554,0.9618138424821002,0.7700783321649547,0.7423887587822015,FALSE
dmskv_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2040.40303223628,-2039.317268719449,-1961.7955865553736,0.24853663889393107,0.046345141788747296,0.8652824546625001,0.3869803932309537,-25.748126306022368,0.2219474796718943,0.5725697781318714,0.047,0.945859872611465,0.5178997613365155,0.8182358499192295,0.7498360655737705,FALSE
