mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,daily,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC
1,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,TRUE,-1807.0731904467748,-1806.8980537797713,-1781.5896195283199,0.17396484985630545,0.047496063024175,0.8790586498260196,0.4103275544755017,-2.0451954236128893,0.042267613358318024,0.4971900654401894,-0.025220588235294116,0.2018203328639755,0.9356617647058824,0.7720868642634673,0.6987998700300287
2,dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,NULL,TRUE,-1811.3717727096682,-1811.1309674471254,-1781.7100745937596,0.18368364192774544,0.04715810892909922,0.8730854289628546,0.4075071470319751,-2.3505850417177037,0.04333610786357032,0.4955653287364627,0.02825,0.21271666195611952,0.9255077030812325,0.7730691150249954,0.6933272397062079
3,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,TRUE,-1781.8069535440673,-1781.7021607760662,-1765.094444754252,0.1390896720634913,0.048584688019595645,0.8987879926245603,0.419543240748769,-1.3087419153197994,0.04091554253662239,0.45085729873394825,-0.018852941176470586,0.15484945730860383,0.9369747899159664,0.7445209308444802,0.6950933472758869
4,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,TRUE,-1826.623292632882,-1826.2175678245178,-1783.5975974571504,0.20046017055845408,0.04656572693047259,0.8619828254445376,0.402393384689133,-2.6888124978492165,0.04657343844607072,0.5439206505075466,0.03932352941176471,0.24170818492021848,0.9220063025210083,0.7952680613472669,0.7031232692939042
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,TRUE,-1805.523430327389,-1805.3482936603857,-1780.039859408934,0.1680268979367771,0.047655752390355216,0.8819486448150644,0.411729184186545,-1.9323764012661733,0.04235493961787397,0.49037766473059424,-0.003426470588235295,0.2095095599515577,0.9338235294117647,0.7674341703095126,0.7064307642680658
6,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,TRUE,-1806.6768099204003,-1806.556386654615,-1785.3713661993993,0.16894798916166348,0.04769080319370964,0.8825989883304907,0.4120294393308467,-1.9178847623091648,0.042103555498602487,0.48649795158151904,-0.026411764705882357,0.1913164274970981,0.9367121848739496,0.766654852505981,0.7043755884033661
7,dmskw_h_,,gr_roll_hosp,growing_hosp,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,TRUE,-1927.1578604530428,-1926.942542479778,-1902.4218885096304,0.18118889167351396,0.03644615483384078,0.7165727817015548,0.3715105419071156,-0.7857379879293995,0.03408040959924042,0.45642253977445807,0.033955882352941176,0.186746290178867,0.9485294117647058,0.7302870012894466,0.7052900584438603
8,dmskw_w_,,gr_roll_ww,growing_ww,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,TRUE,-563.5624456473489,-563.3819015172802,-538.2006345532828,0.008487774457047847,0.16820443805298912,1.5440970724141467,0.6894686387054172,-0.6505935259716993,0.06848607541883178,0.1955638693392744,0.04104411764705883,0.30600706176998965,1,0.614205810237254,0.6932693081967636
9,dmskw_o_,,gr_roll,growing,(sm_mean_ct_O + sm_skew_ct_O) + var_era,model_dat_daily,NULL,TRUE,-1732.9760594853394,-1732.7911883665695,-1707.7644810037284,0.15225014923143537,0.04806018273856902,0.8899027860909108,0.41524446389397385,-1.7698131156625532,0.04129531355695458,0.47327390760544713,-0.004119402985074629,0.2035559501341275,0.9363621453173692,0.7579747332356653,0.7502377868621001
10,dmskw_b_,,gr_roll,growing,(sm_mean_ct_BRD + sm_skew_ct_BRD) + var_era,model_dat_daily,NULL,TRUE,-1640.8951476962995,-1640.7066584557977,-1616.1340348100355,0.1303305005751595,0.048762967615389945,0.8986776684308523,0.4200574668209244,-2.1967219772453315,0.04390685505059737,0.46060862312200235,0.04777049180327869,0.2100728712211996,0.9287458573172859,0.753380466649534,0.7231358210950047
11,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,TRUE,-1824.9410824373244,-1824.3152524999437,-1781.1577154031213,0.22023225241115826,0.04596999389519123,0.8514058108026915,0.39718738780303114,-3.3944430143552506,0.04460641949050828,0.543443684972901,-0.013147058823529416,0.2706376977254135,0.926295518207283,0.8048894422205504,0.6861567591726322
12,dmskw_a_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era + sm_mean_age",model_dat_daily,NULL,TRUE,-1831.3590493719103,-1830.5661229624054,-1782.2809338301072,0.22924937617496882,0.045628031896428264,0.8451586841287825,0.3942673952078111,-3.368829750006937,0.04455579658788794,0.5491961033498769,1.7647058823529104e-4,0.28580081353361236,0.9185924369747899,0.806777890827198,0.6877567740166947
13,dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,NULL,TRUE,-1813.668853359702,-1813.1059581434474,-1774.4979298126987,0.20465034478013067,0.04646312003410782,0.860529216862966,0.4014291123322554,-3.064041567175629,0.044193638987105426,0.5177527952793404,-0.021176470588235293,0.24885545873644876,0.9315476190476191,0.7788097451680963,0.7139211684846606
14,dmskv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily,NULL,TRUE,-1853.6978910263583,-1852.4286756475374,-1778.375317983487,0.25716146096935644,0.04468085871873656,0.8278662776751603,0.3862422378879074,-4.684363474239798,0.04765564872015108,0.5795212623170056,0.023044117647058823,0.322752550836328,0.9113270308123249,0.8257622517107478,0.6896396886476251
15,dmsdw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily,NULL,TRUE,-1838.39763905358,-1837.783191768192,-1790.5419265247112,0.23183058849464871,0.045610054785868596,0.8449747680296604,0.39423361645655525,-2.1914829323000435,0.04226501491622404,0.5507542006522306,-0.0018970588235294125,0.2602793527543356,0.9382878151260504,0.8089998949437074,0.6943034185097677
