mdl,idx,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
1,1,dmskw_1_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-07-12'),model_dat_daily %>% filter(coll_date > '2020-07-12' & coll_date <= '2020-07-26'),-326.8762434790909,-326.4551908475119,-316.45556273513853,0.19240841192743152,0.04535114971964987,0.7309044466192095,0.33976347268671697,-0.9351042900181485,0.02726786674828013,0.5033770719236468,-0.585,0.22,1,0.7628571428571429,0.8125,FALSE
1,2,dmskw_2_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-07-26'),model_dat_daily %>% filter(coll_date > '2020-07-26' & coll_date <= '2020-08-09'),-375.18620657164047,-374.81237479593955,-364.3122110864601,0.19603378019052375,0.043735670943630005,0.7054781407799314,0.34393405632253465,-0.2603828201166598,0.023531082470807974,0.49786865145439685,-0.415,0.20535714285714285,1,0.7446916076845298,0.4888888888888889,FALSE
1,3,dmskw_3_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-08-09'),model_dat_daily %>% filter(coll_date > '2020-08-09' & coll_date <= '2020-08-23'),-433.5589540357973,-433.22837552340064,-422.21382640799186,0.21375936182593258,0.04195504442553569,0.6897081292670197,0.35784626664420416,-0.2489453720076733,0.02135967400781978,0.5289129270921938,-0.253,0.21428571428571427,1,0.7490904365904366,0.5208333333333334,FALSE
1,4,dmskw_4_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-08-23'),model_dat_daily %>% filter(coll_date > '2020-08-23' & coll_date <= '2020-09-06'),-493.4601481423005,-493.1638518460042,-481.6935784518633,0.2121367069274348,0.0403619554806467,0.7234315731011545,0.3536844304809237,-0.07121773302126733,0.01764804070188998,0.517697431612449,0.433,0.2,1,0.7288687973086627,0.7,FALSE
1,5,dmskw_5_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-09-06'),model_dat_daily %>% filter(coll_date > '2020-09-06' & coll_date <= '2020-09-20'),-555.4694780682281,-555.2010216923892,-543.3216676585736,0.22467014074119795,0.03883688302048846,0.7319947809876314,0.35009149744089985,0.0165018985953157,0.056833449056679836,0.5303011634534953,0.02,0.22077922077922077,0.8571428571428571,0.7463235294117647,0.6326530612244897,FALSE
1,6,dmskw_6_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-09-20'),model_dat_daily %>% filter(coll_date > '2020-09-20' & coll_date <= '2020-10-04'),-591.452349017845,-591.2069502448388,-578.9564931002319,0.20011406505419072,0.040639169750768984,0.7744587473389665,0.3674208302496029,-0.40961051087120226,0.044521780054518865,0.504922605065354,0.371,0.22023809523809523,0.9285714285714286,0.7299641577060931,0.5384615384615384,FALSE
1,7,dmskw_7_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-10-04'),model_dat_daily %>% filter(coll_date > '2020-10-04' & coll_date <= '2020-10-18'),-639.4500387034926,-639.2240500029277,-626.6340119551855,0.2214543563459861,0.04085821277573653,0.7759474580494335,0.37842287962976673,-0.2076260696988288,0.025317281425290637,0.52560666219875,-0.033,0.21428571428571427,1,0.754291586073501,0.5454545454545454,FALSE
1,8,dmskw_8_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-10-18'),model_dat_daily %>% filter(coll_date > '2020-10-18' & coll_date <= '2020-11-01'),-698.1980594822546,-697.988635398485,-685.0856008453329,0.22056690120884737,0.03993651562045811,0.7425958612742564,0.3858273755265761,-0.7186190758775928,0.037412056549674735,0.5165976294346067,-0.631,0.20918367346938777,1,0.7582526293866501,0.9230769230769231,FALSE
1,9,dmskw_9_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-11-01'),model_dat_daily %>% filter(coll_date > '2020-11-01' & coll_date <= '2020-11-15'),-751.1139475444163,-750.9188255931969,-737.7255174215469,0.23172726410080002,0.03970204052383019,0.7357103113467577,0.3855369659711652,-1.4055001158189766,0.0454975311716418,0.5251225661063189,0.108,0.2,0.8571428571428571,0.7756468658892128,NA,FALSE
1,10,dmskw_10_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2020-11-15'),model_dat_daily %>% filter(coll_date > '2020-11-15' & coll_date <= '2020-11-29'),-798.6650886315336,-798.4824402297071,-785.0185044241135,0.2509473039444069,0.03997383160227373,0.7394035339340618,0.37375222765425226,-0.08647409537770478,0.04693361431347773,0.5418046667076799,-0.297,0.16964285714285715,0.9285714285714286,0.7901279559442824,0.5416666666666667,FALSE
