mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,in_cover,out_cover,inf_cover,in_AUC,out_AUC,inf_AUC
1,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,-3465.598395550656,-3465.4905995930044,-3430.9226060745623,0.15900227593857919,0.0459299503102639,0.9661706060040538,0.42175802331733814,0.48420145460927266,0.049155292003760426,0.027954753910161445,0.379,0.06381952741654508,-1.7392560055418116e-4,0.355,0.9465138490926457,0.9375,0.8767605633802817,0.7637651229942615,0.7152774972055002,0.7199337121212122
2,dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,-3473.057073801552,-3472.9183454778527,-3433.4276001145877,0.1657643189942153,0.04572295082874064,0.961816218221031,0.41985722238972517,0.4759998619256623,0.050099271738247506,-0.00973810472310932,0.332,0.0645281575533589,-0.022508414488258133,0.326,0.9493791786055397,0.926906779661017,0.8661971830985915,0.7640209802989876,0.70304454589938,0.7057291666666666
3,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,-3423.415112258767,-3423.376724542836,-3403.6003754152853,0.12192537722539376,0.0469990590087819,0.9886601012496107,0.43157525952927367,0.42904430253133496,0.048163884209633814,0.06676949314890579,0.366,0.0638086416921281,1.672454989823935e-4,0.283,0.9455587392550143,0.9396186440677966,0.8697183098591549,0.727458971453635,0.6952603486278893,0.6725852272727273
4,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,-3497.732039682953,-3497.3796679501365,-3433.3341449416466,0.18904153441565696,0.04497204963791768,0.9460204541567172,0.41296196994967727,0.523473540021418,0.056140706526432674,-0.26794865614989316,0.353,0.06944646363850623,-0.18431882189344373,0.233,0.9455587392550143,0.923728813559322,0.8732394366197183,0.7885247998830367,0.710141902235151,0.6683764730639731
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,-3467.5049605836343,-3467.397164625983,-3432.829171107541,0.1605323216358362,0.045888150604317175,0.965291318154785,0.42137419182533237,0.5005817059966412,0.04921861455553792,0.025448735565137937,0.372,0.06409569776430646,-0.008848888918137066,0.355,0.9493791786055397,0.9364406779661016,0.8802816901408451,0.7693355020285829,0.715928424889679,0.7254050925925926
6,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,-3466.440554894358,-3466.3597856635884,-3436.7184496291347,0.15887972413609885,0.045955353495018315,0.9667049808562539,0.4219912915206697,0.48715085224387467,0.04904718674464318,0.03222561250094813,0.386,0.06381878127342981,-1.5053876093440444e-4,0.36,0.9474689589302769,0.9385593220338984,0.8873239436619719,0.7616451624693885,0.7195421958259823,0.7297716750841751
7,dmskw_h_,,gr_roll_hosp,growing_hosp,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,-3867.246580235027,-3867.1332199111407,-3832.9203494319354,0.1706687719038532,0.03448070140042009,0.7367047868451595,0.3772872431186808,0.45839107077745533,0.036783447944477486,0.04086406447217861,0.372,0.038718355677049926,0.028928518205152742,0.427,0.9508032128514057,0.9508547008547008,0.9323843416370107,0.7353651554007193,0.68229128574563,0.7823693723299375
8,dmskw_w_,,gr_roll_ww,growing_ww,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,-1475.0279621988836,-1474.9192243348061,-1440.4126047528036,0.021271678850046882,0.11810317125883046,1.2639059685070757,0.6153381878053515,0.24046377838610677,0.07508310275718251,0.00393662987532839,0.188,0.07616772595757573,-0.06775078425607606,0.166,0.9788053949903661,1,1,0.6307589028125046,0.5719388602757933,0.56653032368833
9,dmskw_o_,,gr_roll,growing,(sm_mean_ct_O + sm_skew_ct_O) + var_era,model_dat_daily,-3372.2757126297283,-3372.164380621776,-3337.8241053406705,0.16377110815871287,0.04556115758846626,0.95841277728658,0.4183715339284211,0.4959326000024231,0.04866521703184977,0.03223867219939447,0.29,0.06405635446424003,0.004240721136505865,0.243,0.9457593688362919,0.9360086767895879,0.8880597014925373,0.7702249423424546,0.6958383526577323,0.6929171668667466
10,dmskw_b_,,gr_roll,growing,(sm_mean_ct_BRD + sm_skew_ct_BRD) + var_era,model_dat_daily,-3098.6715373112615,-3098.5527674279106,-3064.6689388734444,0.13471443732437982,0.047100858436597066,0.9908015277958759,0.43251004663790604,0.4672957948677054,0.05140656790806007,-0.047746493028460124,0.224,0.06626005012586518,-0.05476924410223849,0.189,0.9495268138801262,0.9279069767441861,0.8779527559055118,0.7506943830163645,0.6636699800762301,0.6559639342005644
11,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,-3492.7403320723042,-3492.433387767866,-3432.768550587902,0.18551864748361224,0.04511786925470677,0.9490878780613521,0.41430097843809083,0.523044747263399,0.05229974237338457,-0.10038590561717142,0.398,0.0645419554593609,-0.02294574243672476,0.333,0.9493791786055397,0.9290254237288136,0.8732394366197183,0.7850780364779415,0.7231424992929578,0.7217750420875421
12,dmskw_a_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era + sm_mean_age",model_dat_daily,-3514.327009726828,-3513.958527853399,-3448.4295294959056,0.20286729512373203,0.04460415588754469,0.9382815359706128,0.4095837354882862,0.5318671100339817,0.05238068648597261,-0.10379466761310119,0.381,0.0647970896956653,-0.031049132624356268,0.317,0.9522445081184336,0.9226694915254238,0.8661971830985915,0.7915914324353961,0.7217688174215183,0.7168823653198653
13,dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,-3467.209057633801,-3467.014587412379,-3419.8947932586993,0.16329373582927986,0.04578293567073644,0.9630780439088589,0.42040804136989507,0.47763841558625075,0.05171925057965969,-0.07609438793527756,0.397,0.06487959656158444,-0.033676497290467955,0.305,0.9474689589302769,0.934322033898305,0.8767605633802817,0.7458331810373187,0.7160765670522852,0.7056239478114478
14,dmskv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily,-3556.3873494339423,-3554.657923467215,-3411.9536271569295,0.24792159537452918,0.0430601725814077,0.905802700777596,0.39540589852498803,0.5752564486305525,0.05675800635828154,-0.2959856256597846,0.291,0.07161891875021491,-0.25957456050833017,0.178,0.944603629417383,0.913135593220339,0.8450704225352113,0.8149438941481779,0.71656588510453,0.6945233585858586
15,dmsdw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily,-3527.6628084797544,-3527.2802756675515,-3460.484291474583,0.21345316024617778,0.044310047872872335,0.9320947555180519,0.406883048592871,0.5337045206947078,0.04899766915345019,0.03417873841630659,0.383,0.06324306227465867,0.01781309012103416,0.295,0.9512893982808023,0.9385593220338984,0.8838028169014085,0.7964161701816587,0.7157757935706301,0.6763731060606061
16,dmw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + var_era",model_dat_daily,-3484.251333493218,-3484.0875779479766,-3441.0092885939926,0.17570765375851405,0.045447507190470374,0.9560220567836721,0.4173279236722771,0.4943828242798729,0.04929360053263127,0.02247695964555929,0.385,0.06324985205953917,0.01760218332511454,0.341,0.9474689589302769,0.9417372881355932,0.8908450704225352,0.7667184473116708,0.7128533527264892,0.7208280723905724
17,dmskw_h_cr_,,gr_roll_hosp,growing_hosp,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,-3942.081324755527,-3941.499687637346,-3861.7699766019728,0.23908080096848694,0.032898166863566836,0.7028928073523822,0.35997117736886436,0.5075780607360145,0.03632561763604559,0.06459151429604904,0.395,0.03952870449417303,-0.01214457607356878,0.374,0.9528112449799196,0.9487179487179487,0.9252669039145908,0.7505302333833325,0.7029158743509105,0.7867510132544638
18,dmskw_w_cr_,,gr_roll_ww,growing_ww,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,-1477.3798451791251,-1477.27263588329,-1443.0239886713553,0.023825306754549413,0.11797541311590887,1.262538737825267,0.6146725455257682,0.2504887910645518,0.07549422082519884,-0.007001137542386848,0.184,0.07623360278642598,-0.06959856041162249,0.173,0.9807321772639692,1,1,0.641651625216375,0.5811304742190272,0.5737009544008483
19,dmskw_o_cr_,,gr_roll,growing,"s(sm_mean_ct_O, bs='cs') + s(sm_skew_ct_O, bs='cs') + var_era",model_dat_daily,-3432.3710405969464,-3431.883313273528,-3358.016203655703,0.21928099336126328,0.0438786119431492,0.9230191804116845,0.402921329416627,0.5464774246327269,0.04938836892082157,0.0032636391201799064,0.336,0.0653232781376014,-0.03553758533207141,0.234,0.9467455621301775,0.9414316702819957,0.9029850746268657,0.8043636632799351,0.7235120840234904,0.696218487394958
20,dmskw_b_cr_,,gr_roll,growing,"s(sm_mean_ct_BRD, bs='cs') + s(sm_skew_ct_BRD, bs='cs') + var_era",model_dat_daily,-3152.8352743061696,-3152.299458324096,-3078.359442432026,0.19113908968218296,0.045379142200304805,0.9545839484571546,0.41670015284035666,0.5163153317191294,0.05361860535992724,-0.1398560893118188,0.306,0.0681277381809598,-0.11506935146557296,0.151,0.953732912723449,0.9244186046511628,0.8700787401574803,0.7864263600176913,0.6995002815315315,0.6320118383921811
