plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dm_,,gr_roll,growing,sm_mean_ct,model_dat_daily,NULL,-4150.907808263378,-4150.885059448212,-4136.012567226586,0.19477226497067146,0.03399316967451476,0.7090876223109611,0.3593738113103003,0.19477226497067146,0.03399316967451476,0.4987024164410642,NA,0.9527856468366384,NA,0.7429338518624233,0.7429338518624233,NA
dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,-4175.256846195748,-4175.176998287003,-4145.466364122143,0.21529394852671724,0.03350955126417223,0.6989994830765464,0.3542610256239768,0.21529394852671724,0.03350955126417223,0.5087740941656653,NA,0.9490084985835694,NA,0.7519569715998288,0.7519569715998288,NA
dmv_,,gr_roll,growing,sm_mean_ct * var_era,model_dat_daily,NULL,-4230.088029306386,-4229.916437314012,-4185.402306195973,0.2569840957765622,0.032560811398664985,0.679209045707344,0.34423100298490006,0.2569840957765622,0.032560811398664985,0.519488897214313,NA,0.9575070821529745,NA,0.7630351791066077,0.7630351791066077,NA
dmsd_,,gr_roll,growing,sm_mean_ct + sm_sd_ct,model_dat_daily,NULL,-4158.855640200182,-4158.817689536046,-4138.99531881778,0.2015454469225546,0.03383388475999518,0.7057649853698296,0.3576898604647852,0.2015454469225546,0.03383388475999518,0.5115484887488244,NA,0.9499527856468366,NA,0.7504192236335093,0.7504192236335093,NA
dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,-4185.521282552744,-4185.4147173767215,-4150.765720133538,0.22359269558174366,0.03331607243537225,0.6949635710390717,0.3522155787068618,0.22359269558174366,0.03331607243537225,0.5240216220268745,NA,0.9499527856468366,NA,0.7626498501498501,0.7626498501498501,NA
dmsdv_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) * var_era,model_dat_daily,NULL,-4255.877154391758,-4255.528829032906,-4191.33110989894,0.2775675099721966,0.03204548000967006,0.6684593829714628,0.3387829495340392,0.2775675099721966,0.03204548000967006,0.5410274043374068,NA,0.95561850802644,NA,0.7800217639503354,0.7800217639503354,NA
dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,-4149.288886039311,-4149.250935375175,-4129.428564656906,0.19429971955654313,0.033987054057801384,0.7089600523268798,0.3593091573663509,0.19429971955654313,0.033987054057801384,0.49702723716655217,NA,0.9546742209631728,NA,0.7429445554445554,0.7429445554445554,NA
dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-4174.096550476906,-4173.989985300882,-4139.340988057704,0.2151712932484976,0.03349626866900623,0.6987224120086064,0.3541206028009626,0.2151712932484976,0.03349626866900623,0.5086090249451729,NA,0.9508970727101038,NA,0.7523315969744542,0.7523315969744542,NA
dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,-4227.044773289571,-4226.696447930721,-4162.498728796874,0.2576283300232548,0.03248469860518358,0.677621354995535,0.3434263429621722,0.2576283300232548,0.03248469860518358,0.5213203956361739,NA,0.9537299338999056,NA,0.7641554873697731,0.7641554873697731,NA
dmsb_,,gr_roll,growing,sm_mean_ct + sm_sd_ct + sm_skew_ct,model_dat_daily,NULL,-4156.967684351076,-4156.910704294096,-4132.142282623096,0.20087317152577444,0.033832094963668416,0.7057276507395519,0.3576709388421893,0.20087317152577444,0.033832094963668416,0.512434448810626,NA,0.9499527856468366,NA,0.7511542029399172,0.7511542029399172,NA
dmsbw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-4183.553381295116,-4183.416238437973,-4143.832738530305,0.2228782210747583,0.033315567527004666,0.6949530387975279,0.3522102408449867,0.2228782210747583,0.033315567527004666,0.524462712607801,NA,0.9490084985835694,NA,0.7627997002997003,0.7627997002997003,NA
dmsbv_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,-4254.719594628705,-4254.131698375104,-4170.313228753568,0.2794675127538667,0.03194212048382456,0.6663033333554154,0.3376902386425871,0.2794675127538667,0.03194212048382456,0.545734069691731,NA,0.9612842304060434,NA,0.7825620807763665,0.7825620807763665,NA
dm_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs')",model_dat_daily,NULL,-4228.901098881003,-4228.756892715009,-4188.1153723969055,0.2559845558107865,0.03260323725914885,0.680094036804763,0.3446795267126428,0.2559845558107865,0.03260323725914885,0.4999545508975072,NA,0.9537299338999056,NA,0.7549325674325674,0.7549325674325674,NA
dmw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + var_era",model_dat_daily,NULL,-4257.6852577006375,-4257.424083707596,-4202.064022079027,0.27792636584483077,0.0320725277520087,0.6690235910017062,0.3390688966917962,0.27792636584483077,0.0320725277520087,0.537310790561657,NA,0.9527856468366384,NA,0.7797006564863708,0.7797006564863708,NA
dmv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-4295.5920414306875,-4294.848873533277,-4200.492296104802,0.3095826143131333,0.03126796657635263,0.6522406791252243,0.3305631227702607,0.3095826143131333,0.03126796657635263,0.5638935936038887,NA,0.9565627950897073,NA,0.7957381903810475,0.7957381903810475,NA
dmsd_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs')",model_dat_daily,NULL,-4238.492065691791,-4238.269955993551,-4187.360391179782,0.26453978969808434,0.032392134209556625,0.675690488652848,0.3424477575590866,0.26453978969808434,0.032392134209556625,0.5130080838020574,NA,0.9537299338999056,NA,0.7625749250749251,0.7625749250749251,NA
dmsdw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily,NULL,-4272.034169614477,-4271.691540003121,-4208.0341519518715,0.28892329984393084,0.03180525603744845,0.6634483808520452,0.3362433156813567,0.28892329984393084,0.03180525603744845,0.5507909198439876,NA,0.9508970727101038,NA,0.7887594548308834,0.7887594548308834,NA
dmsdv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_sd_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-4344.267366084616,-4342.957294197011,-4217.603645746922,0.3455463869022348,0.03037468060164636,0.6336069937727494,0.3211193554371748,0.3455463869022348,0.03037468060164636,0.5813876774846816,NA,0.95561850802644,NA,0.8113154702440417,0.8113154702440417,NA
dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,NULL,-4232.006063490289,-4231.736119463889,-4175.4245405718,0.26093910696941414,0.0324578220368927,0.6770607176060907,0.3431422054464855,0.26093910696941414,0.0324578220368927,0.5023844947087256,NA,0.9518413597733711,NA,0.7548290994719566,0.7548290994719566,NA
dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-4261.33352282133,-4260.9058828606785,-4189.608008472852,0.28317562724988043,0.03191941747344339,0.6658297551688376,0.3374502237382101,0.28317562724988043,0.03191941747344339,0.539512136185997,NA,0.9518413597733711,NA,0.7797006564863708,0.7797006564863708,NA
dmskv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-4339.333375850216,-4337.239490152789,-4179.091012140589,0.34724573307349405,0.030251711508991135,0.6310418943023697,0.31981933334673673,0.34724573307349405,0.030251711508991135,0.5924029384432987,NA,0.9603399433427762,NA,0.7996771086056801,0.7996771086056801,NA
dmsb_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,NULL,-4240.31685549016,-4240.031687170706,-4182.105000014014,0.26701297152311143,0.03232068767347904,0.6742001347119033,0.3416924289380439,0.26701297152311143,0.03232068767347904,0.5172261040497621,NA,0.9537299338999056,NA,0.7622395461681176,0.7622395461681176,NA
dmsbw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-4274.374163282219,-4273.8770660832415,-4196.899470268529,0.29291466147284073,0.03168882380865114,0.6610196384585357,0.33501240093516244,0.29291466147284073,0.03168882380865114,0.5529254021784576,NA,0.9518413597733711,NA,0.7889414157271301,0.7889414157271301,NA
dmsbv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_sd_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-4379.348947318684,-4376.89932916765,-4206.054396708727,0.37348240938869537,0.029611930268029083,0.6176962438879849,0.3130556033041764,0.37348240938869537,0.029611930268029083,0.6005074309882503,NA,0.9575070821529745,NA,0.8140484515484515,0.8140484515484515,NA
dm_tt_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2445.804829376498,-2445.766734138403,-2432.448682513187,0.2051190957632878,0.03499540344107635,0.6897762226825461,0.35490742461374003,0.09410993116970734,0.033230757581677366,0.535748407629256,0.458,0.9511041009463722,0.9576470588235294,0.784507877180291,0.6945491313539848,FALSE
dmw_tt_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2476.014657680978,-2475.880686389112,-2449.3023639543544,0.24566456654989755,0.034010186261817045,0.670357118525748,0.3449158012176881,-0.9086552278853468,0.0482354390674933,0.5406104822149465,0.458,0.944794952681388,0.8423529411764706,0.7906669479945342,0.6945491313539848,FALSE
dmv_tt_,,gr_roll,growing,sm_mean_ct * var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2499.0351344593096,-2498.746672920848,-2458.9666938693745,0.2759616186078997,0.03324064135056171,0.6551890184361451,0.33711142762222146,-0.9343256099918822,0.048558725993119105,0.5769090893787182,0.458,0.9479495268138801,0.851764705882353,0.8153936580660719,0.5,FALSE
dmsd_tt_,,gr_roll,growing,sm_mean_ct + sm_sd_ct,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2455.3734175314885,-2455.309824526719,-2437.5652217137554,0.2182548091260521,0.034677575205827045,0.6835116753987506,0.35168415557408494,0.08486862377725812,0.03339982689138687,0.5459847147241196,0.473,0.9542586750788643,0.9505882352941176,0.7900038180210593,0.7042237337990624,FALSE
dmsdw_tt_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2485.8923059815543,-2485.713392243535,-2454.7279633004937,0.25848620156220536,0.03369309247097268,0.664107047494191,0.3416999805782984,-0.8719565919435444,0.04776946527788279,0.5481809217347594,0.474,0.9479495268138801,0.8447058823529412,0.7950476247890041,0.7052348561448663,FALSE
dmsdv_tt_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) * var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2522.9789869944134,-2522.39189022022,-2465.1023505867292,0.30711083116809534,0.03241369282635653,0.638889465543732,0.3287248927589227,-1.1355922508510572,0.051022491399238826,0.5975278897748032,0.197,0.9526813880126183,0.8752941176470588,0.830163371111647,0.5,FALSE
