mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC
1,dm_,,gr_roll,growing,sm_mean_ct,model_dat_daily,NULL,-2169.615893851703,-2169.553628739902,-2157.0615934708603,0.17703950683682657,0.03566253936149221,0.6702821916471903,0.3544867130758372,-4.354058736945874,0.030555346479803226,0.48267778488847257,0.22417647058823528,0.09641921632526856,0.9558015513897867,0.7569767047982039,0.7765484560533262
2,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,-2182.4821399597845,-2182.3624950370618,-2161.1421543918727,0.19541550214290399,0.03520154109296744,0.6616384836343736,0.3498910420563264,-5.436476963315485,0.03192607942521486,0.47847715935927465,0.22417647058823528,0.1378629875356664,0.929541047188106,0.7551920557176737,0.7765484560533262
3,dmv_,,gr_roll,growing,sm_mean_ct * var_era,model_dat_daily,NULL,-2232.578142537361,-2232.371645951658,-2202.4524717824056,0.2501417333765854,0.03387608645017409,0.6371612838229757,0.33694672829363514,-4.5207822950860646,0.033196439099684595,0.5091080913703513,0.19511764705882353,0.16272493947978237,0.9332579185520362,0.7759337011153795,0.7695554490603191
4,dmsd_,,gr_roll,growing,sm_mean_ct + sm_sd_ct,model_dat_daily,NULL,-2172.5860084297383,-2172.481794313574,-2155.8469412552818,0.18111745253192088,0.03551958861799267,0.6676239909453987,0.35310204629165004,-4.498252717526606,0.03083463848512697,0.48897923207179417,0.23033823529411765,0.11084528875682707,0.9525694893341952,0.7632034003628454,0.7588131655501785
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,-2186.276292783183,-2186.1022618514226,-2160.751540421659,0.20017397827407934,0.03504128530441682,0.6586624357929742,0.34834343527123146,-5.581318971966113,0.03226916458395643,0.4856476825738421,0.22913235294117648,0.14961729049380545,0.9274402068519716,0.7625140608486165,0.7601640873556458
6,dmsdv_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) * var_era,model_dat_daily,NULL,-2245.933437135105,-2245.5305916831735,-2202.8373143994672,0.2651698832113333,0.033408358540899734,0.6284798568209014,0.33242882630410053,-4.882892322244331,0.034338977226638596,0.5238153643199143,0.1787058823529412,0.20050764490342676,0.922753716871364,0.7912575746925963,0.7592074051489636
7,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,-2168.83839033671,-2168.7341762205456,-2152.0993231622515,0.17781242766044664,0.035599221200679966,0.6691188110592905,0.35386480369846035,-4.424165474531968,0.030768620137103516,0.4831722271695906,0.2308235294117647,0.11503742786788078,0.9546703296703297,0.7605814135711594,0.7666251677615314
8,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-2181.8265538240603,-2181.6525228923,-2156.3018014625327,0.19627598382225386,0.03513655455491815,0.6604446787488798,0.34925419605358543,-5.475754160135732,0.03213044023568922,0.4815620441338864,0.22879411764705881,0.15575478498337905,0.929541047188106,0.7590314734559588,0.7665821236843964
9,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,-2230.424937549528,-2230.022092097596,-2187.328814813895,0.251463476104804,0.03374964650256967,0.6348208978462226,0.3357017036827383,-5.03476163949825,0.03422192466462917,0.5140606221881729,0.1584264705882353,0.202664108862231,0.9366515837104072,0.7814069815137625,0.7499335576040121
10,dmsb_,,gr_roll,growing,sm_mean_ct + sm_sd_ct + sm_skew_ct,model_dat_daily,NULL,-2171.1581406726073,-2171.001152886551,-2150.234306704535,0.18124994519300966,0.03547071366636359,0.6667342135054005,0.3526225334992975,-4.580824316834407,0.03112644272614438,0.492780740847523,0.23170588235294118,0.12841573458564096,0.9525694893341952,0.7675384987832565,0.7617761207046921
