mdl,idx,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
1,1,dm_1_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-07-12'),model_dat_daily %>% filter(coll_date > '2020-07-12' & coll_date <= '2020-07-26'),-374.2582452994064,-374.005613720459,-366.4728857490026,0.36788882435584036,0.03545699513169789,0.608772062820967,0.3054305612560797,-11.291239666154956,0.06522198803443076,0.47672232529375386,-0.125,0.21212121212121213,0.5714285714285714,0.8830917874396136,0.75,FALSE
1,2,dm_2_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-07-26'),model_dat_daily %>% filter(coll_date > '2020-07-26' & coll_date <= '2020-08-09'),-408.1310138472705,-407.910830361032,-399.94885039113575,0.20586188477011746,0.03872086613739214,0.6557104534093323,0.35148472057707564,-4.658893141747141,0.05511364491893302,0.3804527506261773,-0.389,0.23008849557522124,0.8571428571428571,0.7749832327297116,0.675,FALSE
1,3,dm_3_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-08-09'),model_dat_daily %>% filter(coll_date > '2020-08-09' & coll_date <= '2020-08-23'),-450.86817866120606,-450.67305670998684,-442.3356174018373,0.10881505594384266,0.04004977794285849,0.6841038580627234,0.3666323246458665,-0.836216975534376,0.027147864325147878,0.27723137717880014,0.244,0.18110236220472442,1,0.6894871794871795,0.6458333333333333,FALSE
1,4,dm_4_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-08-23'),model_dat_daily %>% filter(coll_date > '2020-08-23' & coll_date <= '2020-09-06'),-509.42644496202195,-509.2512624802701,-500.58016529088746,0.09530353580982553,0.03890268980330112,0.6883202374559078,0.3740704145254532,-2.248835856428564,0.02915419675222122,0.26245158445537575,0.033,0.18439716312056736,1,0.6810699588477366,0.5454545454545454,FALSE
1,5,dm_5_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-09-06'),model_dat_daily %>% filter(coll_date > '2020-09-06' & coll_date <= '2020-09-20'),-567.6049220053427,-567.4459816079917,-558.474646654585,0.07791451680391415,0.03803391598928634,0.718496435396477,0.38042613700842964,-1.6248213556223474,0.038098127600316965,0.24852264551798656,-0.657,0.13548387096774195,1,0.6488933601609658,0.8125,FALSE
1,6,dm_6_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-09-20'),model_dat_daily %>% filter(coll_date > '2020-09-20' & coll_date <= '2020-10-04'),-621.8752914494478,-621.7298369039933,-612.4855953046786,0.045348530927893704,0.03775800628794878,0.7083712498266085,0.38663456583206246,-0.8826053133926373,0.03254269600366399,0.22229266464418332,0.802,0.14201183431952663,1,0.6241912798874825,0.8333333333333333,FALSE
1,7,dm_7_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-10-04'),model_dat_daily %>% filter(coll_date > '2020-10-04' & coll_date <= '2020-10-18'),-678.0962878345797,-677.9622096222893,-668.4678293760605,0.04619924845234291,0.03732641321920654,0.7255233641674058,0.3788312808202705,-0.7999409442162901,0.02621431970228236,0.22205371439819344,-0.288,0.13114754098360656,1,0.6100095556617295,0.625,FALSE
1,8,dm_8_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-10-18'),model_dat_daily %>% filter(coll_date > '2020-10-18' & coll_date <= '2020-11-01'),-737.883486908332,-737.7591345767257,-728.033875722118,0.05340164528863056,0.03662707024453524,0.7306210271411473,0.37529425894469703,-2.2285717297004184,0.031299056971483094,0.260646031162428,-0.266,0.14720812182741116,1,0.6349927700888246,NA,FALSE
1,9,dm_9_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-11-01'),model_dat_daily %>% filter(coll_date > '2020-11-01' & coll_date <= '2020-11-15'),-795.2491373916172,-795.1331953626317,-785.193562991192,0.07467159459165207,0.03623850064573478,0.7211447836415898,0.37308449737084776,-7.379407377392171,0.03328077758589522,0.31521707541329497,0.679,0.13744075829383887,1,0.6674849972722313,NA,FALSE
1,10,dm_10_,,gr_roll,growing,sm_mean_ct,model_dat_daily %>% filter(coll_date <= '2020-11-15'),model_dat_daily %>% filter(coll_date > '2020-11-15' & coll_date <= '2020-11-29'),-851.3589581533926,-851.2503608683247,-841.110656946783,0.08070171928055658,0.036002004467099454,0.6927993933524023,0.3694380371784561,-0.83004941053702,0.030573826176411717,0.3398241518711011,0.653,0.12,1,0.6798765632613286,0.6153846153846154,FALSE
