mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,in_cover,out_cover,inf_cover,in_AUC,out_AUC,inf_AUC
1,dm_,,gr_roll,growing,sm_mean_ct,model_dat_daily,-4150.907808263378,-4150.885059448212,-4136.012567226586,0.19477226497067146,0.03399316967451476,0.7090876223109611,0.3593738113103003,0.4987024164410642,0.03485665507794449,0.1076203024937723,0.438,0.04340938597771141,-0.08700158587804174,0.34,0.9527856468366384,0.9558359621451105,0.9058823529411765,0.7429338518624233,0.7009369578302588,0.6602405668149612
2,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,-4175.256846195748,-4175.176998287003,-4145.466364122143,0.21529394852671724,0.03350955126417223,0.6989994830765464,0.3542610256239768,0.5087740941656653,0.03742194976235156,-0.0285634464530109,0.336,0.0470904528248507,-0.2791710600900823,0.237,0.9490084985835694,0.9295478443743428,0.8705882352941177,0.7519569715998288,0.6671099918563892,0.6360191135277641
3,dmv_,,gr_roll,growing,sm_mean_ct * var_era,model_dat_daily,-4230.088029306386,-4229.916437314012,-4185.402306195973,0.2569840957765622,0.032560811398664985,0.679209045707344,0.34423100298490006,0.519488897214313,0.038302683517827604,-0.07754810484909802,0.395,0.05066434426772613,-0.4807022769993252,0.161,0.9575070821529745,0.9337539432176656,0.8470588235294118,0.7630351791066077,0.6941697942853097,0.6021585104630087
4,dmsd_,,gr_roll,growing,sm_mean_ct + sm_sd_ct,model_dat_daily,-4158.855640200182,-4158.817689536046,-4138.99531881778,0.2015454469225546,0.03383388475999518,0.7057649853698296,0.3576898604647852,0.5115484887488244,0.035377960397957264,0.08072839371748475,0.43,0.04415579949805346,-0.12470440820422968,0.346,0.9499527856468366,0.9526813880126183,0.9,0.7504192236335093,0.6955595191728924,0.6508485747240073
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,-4185.521282552744,-4185.4147173767215,-4150.765720133538,0.22359269558174366,0.03331607243537225,0.6949635710390717,0.3522155787068618,0.5240216220268745,0.037948522227352205,-0.057713385025298436,0.324,0.04788573021140348,-0.32274193066933976,0.249,0.9499527856468366,0.9274447949526814,0.8705882352941177,0.7626498501498501,0.6662425202705096,0.6465645081562037
6,dmsdv_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) * var_era,model_dat_daily,-4255.877154391758,-4255.528829032906,-4191.33110989894,0.2775675099721966,0.03204548000967006,0.6684593829714628,0.3387829495340392,0.5410274043374068,0.03959173054497813,-0.15129663002705773,0.368,0.05252456307324705,-0.5914309094727586,0.102,0.95561850802644,0.9232386961093586,0.8235294117647058,0.7800217639503354,0.6859686470983961,0.6052891744933268
7,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,-4149.288886039311,-4149.250935375175,-4129.428564656906,0.19429971955654313,0.033987054057801384,0.7089600523268798,0.3593091573663509,0.49702723716655217,0.03508595532410307,0.09584086312035056,0.426,0.043399274428304616,-0.08649524422544363,0.339,0.9546742209631728,0.9547844374342797,0.9,0.7429445554445554,0.695218726764154,0.6600757950238919
8,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,-4174.096550476906,-4173.989985300882,-4139.340988057704,0.2151712932484976,0.03349626866900623,0.6987224120086064,0.3541206028009626,0.5086090249451729,0.03760017883860959,-0.03838423141416336,0.326,0.047155593323486594,-0.28271247743708683,0.235,0.9508970727101038,0.9295478443743428,0.8647058823529412,0.7523315969744542,0.6604092164430124,0.6376668314384577
9,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,-4227.044773289571,-4226.696447930721,-4162.498728796874,0.2576283300232548,0.03248469860518358,0.677621354995535,0.3434263429621722,0.5213203956361739,0.039468202564507567,-0.14412364297072688,0.367,0.051936811511388,-0.5560138565634338,0.129,0.9537299338999056,0.9369085173501577,0.8588235294117647,0.7641554873697731,0.6826735828346847,0.6039710001647718
10,dmsb_,,gr_roll,growing,sm_mean_ct + sm_sd_ct + sm_skew_ct,model_dat_daily,-4156.967684351076,-4156.910704294096,-4132.142282623096,0.20087317152577444,0.033832094963668416,0.7057276507395519,0.3576709388421893,0.512434448810626,0.035790452783752855,0.059166769030329136,0.417,0.04464047805098225,-0.1495306770805529,0.336,0.9499527856468366,0.9526813880126183,0.9,0.7511542029399172,0.6889207060156499,0.6541440105453946
