mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,in_cover,out_cover,inf_cover,in_AUC,out_AUC,inf_AUC
1,dm_,,gr_roll,growing,sm_mean_ct,model_dat_daily,-3842.1260917444633,-3842.103661837921,-3827.1886559192567,0.22011113877737287,0.04033921819132381,0.8267003679593619,0.41113452590812344,0.5329404852388608,0.03287218354023718,0.2293153086384322,0.539,0.03614514437727967,0.331387875470617,0.613,0.061452513966480445,0.13113006396588486,0.10778443113772455,0.7671487030101263,0.7496919684466571,0.7852991452991454
2,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,-3885.1156619765757,-3885.0369365782626,-3855.240790326163,0.2527948871713829,0.03942961128024589,0.8080591448072427,0.4018638750894815,0.5530604672195655,0.03350739940793454,0.19924239661040044,0.492,0.03590090495025778,0.34039321856562366,0.532,0.1378026070763501,0.2515991471215352,0.3532934131736527,0.7827715355805244,0.7185523653640683,0.6644444444444445
3,dmv_,,gr_roll,growing,sm_mean_ct * var_era,model_dat_daily,-3902.4557685938066,-3902.286595661476,-3857.643461118187,0.26680031012222216,0.039003489556729304,0.7993263284210687,0.3975208719121213,0.5600331607184866,0.03379648505902258,0.18536569364106692,0.552,0.04129901750823479,0.1271215728563876,0.506,0.1564245810055866,0.35074626865671643,0.48502994011976047,0.7949160771258149,0.7270681306690309,0.6341880341880343
4,dmsd_,,gr_roll,growing,sm_mean_ct + sm_sd_ct,model_dat_daily,-3848.3630013549096,-3848.325583207108,-3828.446420254645,0.22534689762966986,0.040184826091358025,0.8235363005437176,0.40956097228786403,0.5213311679776209,0.033772353277885546,0.18652862868145903,0.508,0.04013841290109639,0.17549230626048717,0.575,0.0782122905027933,0.15671641791044777,0.17365269461077845,0.7672804827299209,0.7487599172520403,0.7822222222222223
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,-3888.284602741349,-3888.1795370753075,-3853.4305858158673,0.25568612040771466,0.039334842053712356,0.8061169714593381,0.40089799367758233,0.5439130430486837,0.03418199301985577,0.16667504324672766,0.459,0.03883640771020348,0.2281153160319609,0.517,0.1452513966480447,0.26439232409381663,0.39520958083832336,0.7829137189624081,0.7174066243833686,0.6627350427350428
6,dmsdv_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) * var_era,model_dat_daily,-3912.5155664789927,-3912.1721702525774,-3847.7866779030983,0.2763107832109165,0.038676933579693665,0.7926339838869162,0.39419263594670817,0.5336574686416082,0.033875192153468826,0.1815669459701632,0.537,0.0396624084288257,0.19493214752988375,0.559,0.18063314711359404,0.39552238805970147,0.5568862275449101,0.7967263143293106,0.7133806178817431,0.5982051282051283
7,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,-3842.107750933889,-3842.070332786087,-3822.1911698336135,0.2208219556094636,0.04030201999780197,0.8259380388501045,0.41075540448872194,0.5323593507621499,0.0336978934190268,0.19011168911224796,0.531,0.03644578448746102,0.3202191505236677,0.607,0.07169459962756052,0.1460554371002132,0.11976047904191617,0.7671625745595783,0.7450362590647662,0.7842735042735043
8,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,-3884.1456596270887,-3884.0405939610473,-3849.2916427016094,0.2528121757770052,0.03941070873303376,0.8076717614260993,0.40167122163373886,0.5523481914768454,0.034324051163124265,0.15973416141682806,0.48,0.03605691823609304,0.33464790256123944,0.535,0.14804469273743018,0.26119402985074625,0.3592814371257485,0.782511444028298,0.7151787946986746,0.6651282051282051
9,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,-3899.6532610845566,-3899.3098648581417,-3834.9243725086867,0.26759172043841184,0.038909227321317706,0.7973945452038075,0.3965601577187232,0.5568299758450546,0.036747896217008746,0.036870714494247725,0.514,0.04470278749028326,-0.022688870851607312,0.469,0.19273743016759776,0.40405117270788915,0.5269461077844312,0.794548481065335,0.6959739934983746,0.6064957264957266
10,dm_tp_,,gr_roll,growing,s(sm_mean_ct),model_dat_daily,-3888.3736826194695,-3888.2458791851614,-3849.7075828738666,0.256275040488121,0.03930518181249189,0.805509122982592,0.4005956985474521,0.5329554606347503,0.032341612845047975,0.25399287726822695,0.529,0.034003889830546426,0.408259191186778,0.578,0.12756052141527002,0.2345415778251599,0.25149700598802394,0.7725655430711611,0.7490827252267612,0.778974358974359
11,dmw_tp_,,gr_roll,growing,s(sm_mean_ct) + var_era,model_dat_daily,-3929.7776465129514,-3929.5216323033046,-3874.1642253355935,0.2866471674189226,0.0384328141717803,0.7876310707568,0.3917045878005738,0.5665914687397523,0.03283284864001653,0.23115860986180126,0.52,0.036424948354337634,0.3209961926797218,0.5,0.16573556797020483,0.35074626865671643,0.4491017964071856,0.7926376751283118,0.722521539475778,0.6803418803418804
12,dmv_tp_,,gr_roll,growing,"s(sm_mean_ct, by=var_era)",model_dat_daily,-3936.146923385536,-3935.2178429322503,-3828.568672871956,0.29762345508870724,0.037948463288614474,0.7777049226734255,0.3867681170494775,0.5797323447298938,0.038370959138834,-0.05008616458893611,0.553,0.045136729958970376,-0.04264029429326288,0.537,0.24115456238361266,0.34754797441364604,0.4491017964071856,0.8095332223609377,0.759939984996249,0.7658119658119659
13,dmsd_tp_,,gr_roll,growing,s(sm_mean_ct) + s(sm_sd_ct),model_dat_daily,-3928.967543605659,-3928.392319590598,-3844.64462083474,0.28988435794883527,0.03824145378947126,0.7837093859656517,0.389754255999767,0.5288125841990665,0.03466979612042365,0.14272096782554422,0.506,0.04386979417812009,0.015069664366354485,0.506,0.1685288640595903,0.29637526652452023,0.31736526946107785,0.7724545706755445,0.7462183727750119,0.764102564102564
