plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dmskw_idel_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily,NULL,-5314.165030017818,-5314.058566139491,-5279.402860708075,0.7251299894131995,0.019600035045285152,0.42117759806840427,0.21518636087827422,0.7251299894131995,0.019600035045285152,0.8433535458771818,NA,0.9556603773584905,NA,0.911773502675796,0.911773502675796,NA
dmskw_rknt_,,gr_roll_rknt,growing_rknt,(sm_mean_ct_rknt + sm_skew_ct_rknt) + var_era,model_dat_daily,NULL,-4682.875950615632,-4682.769486737305,-4648.1137813058895,0.5230515378751424,0.026398553629819653,0.5441967670977731,0.27850977949827627,0.5230515378751424,0.026398553629819653,0.7518183480538717,NA,0.95,NA,0.8770675927675703,0.8770675927675703,NA
dmskw_rvar_,,gr_roll_rvar,growing_rvar,(sm_mean_ct_rvar + sm_skew_ct_rvar) + var_era,model_dat_daily,NULL,-4788.250375560923,-4788.143911682596,-4753.488206251181,0.5435908214050876,0.025118491912694683,0.524635344467474,0.2797460914867453,0.5435908214050876,0.025118491912694683,0.7460817338158432,NA,0.939622641509434,NA,0.8706216078485876,0.8706216078485876,NA
dmskw_rsam_,,gr_roll_rsam,growing_rsam,(sm_mean_ct_rsam + sm_skew_ct_rsam) + var_era,model_dat_daily,NULL,-4780.425816345178,-4780.31935246685,-4745.663647035437,0.551936347674643,0.025211371287195243,0.5232961059593244,0.27055536056882307,0.551936347674643,0.025211371287195243,0.7467306137463674,NA,0.95,NA,0.8486415821551592,0.8486415821551592,NA
dmskw_base_,,gr_roll_base,growing_base,(sm_mean_ct_base + sm_skew_ct_base) + var_era,model_dat_daily,NULL,-4174.096550476906,-4173.989985300882,-4139.340988057704,0.2151712932484976,0.03349626866900623,0.6987224120086064,0.3541206028009626,0.2151712932484976,0.03349626866900623,0.5086090249451729,NA,0.9490084985835694,NA,0.7523315969744542,0.7523315969744542,NA
dmskw_hvar_,,gr_roll_hvar,growing_hvar,(sm_mean_ct_hvar + sm_skew_ct_hvar) + var_era,model_dat_daily,NULL,-3940.3703381627765,-3940.2638742844497,-3905.6081688530508,0.03467387769706043,0.0374702662454023,0.7663260262873648,0.38748312380429367,0.03467387769706043,0.0374702662454023,0.2510804149091535,NA,0.9367924528301886,NA,0.6362343146889999,0.6362343146889999,NA
dmskw_sknt_,,gr_roll_sknt,growing_sknt,(sm_mean_ct_sknt + sm_skew_ct_sknt) + var_era,model_dat_daily,NULL,-4469.642873221474,-4469.536409343146,-4434.880703911731,0.40735370299760376,0.029191887991920365,0.6010810723284101,0.3019942063154178,0.40735370299760376,0.029191887991920365,0.6617795878681912,NA,0.9556603773584905,NA,0.8227492863786523,0.8227492863786523,NA
dmskw_asy_base_,,gr_roll_base_FALSE,growing_base_FALSE,(sm_mean_ct_base_FALSE + sm_skew_ct_base_FALSE) + var_era,model_dat_daily,NULL,-967.6357749387114,-967.2209601238966,-942.242427142877,0.03438341451619931,0.041400161279477564,0.8635953106474797,0.4376800954522741,0.03438341451619931,0.041400161279477564,0.28970566390973995,NA,0.9496402877697842,NA,0.6969665543168265,0.6969665543168265,NA
dmskw_asy_rsam_,,gr_roll_rsam_FALSE,growing_rsam_FALSE,(sm_mean_ct_rsam_FALSE + sm_skew_ct_rsam_FALSE) + var_era,model_dat_daily,NULL,-1707.4777379410195,-1707.1963309058438,-1679.4332658238075,0.3922277383825804,0.02904279031246352,0.6028223892932133,0.31167216235096956,0.3922277383825804,0.02904279031246352,0.6434672971562545,NA,0.9679802955665024,NA,0.8398760077433899,0.8398760077433899,NA
dmskw_idel_cr_,,gr_roll_idel,growing_idel,"s(sm_mean_ct_idel, bs='cs') + s(sm_skew_ct_idel, bs='cs') + var_era",model_dat_daily,NULL,-5349.333517848322,-5348.892263328136,-5276.396068398375,0.7363510663862542,0.019138275491173945,0.41125502499971583,0.21011675983825628,0.7363510663862542,0.019138275491173945,0.8461425085700199,NA,0.9575471698113207,NA,0.915893124824195,0.915893124824195,NA
