mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,daily,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC
1,dmskw_idel_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily,NULL,TRUE,-2778.548510013754,-2778.374611326878,-2753.017968647734,0.7131417992693961,0.021177754243927958,0.4076571142166658,0.2176577797330747,-1.0433777659796943,0.01768057217819362,0.8295830381719173,0.3671029411764706,0.18607920755547816,0.9558823529411765,0.9066162674490883,0.7774430034251463
2,dmskw_rknt_,,gr_roll_rknt,growing_rknt,(sm_mean_ct_rknt + sm_skew_ct_rknt) + var_era,model_dat_daily,NULL,TRUE,-2424.4387097823846,-2424.264811095509,-2398.908168416372,0.5089765301490837,0.028576509091376136,0.5240136921168408,0.2781875268717025,-2.3420743350568762,0.023303129444136466,0.7133995780803832,0.3466029411764706,0.17488425374322322,0.9537815126050421,0.8602184648760753,0.7460544644610578
3,dmskw_rvar_,,gr_roll_rvar,growing_rvar,(sm_mean_ct_rvar + sm_skew_ct_rvar) + var_era,model_dat_daily,NULL,TRUE,-2466.315730068915,-2466.141831382039,-2440.7851887028946,0.4945047442644847,0.02809881827701078,0.5242715278131358,0.28760000776136213,-2.3886197271312684,0.022771579130942896,0.6980739986933339,0.32576470588235296,0.17959489758259617,0.9590336134453782,0.8399209111590893,0.7492751245498498
4,dmskw_rsam_,,gr_roll_rsam,growing_rsam,(sm_mean_ct_rsam + sm_skew_ct_rsam) + var_era,model_dat_daily,NULL,TRUE,-2508.4883941592666,-2508.3144954723907,-2482.9578527932467,0.5474337979956806,0.02649242016616184,0.47937396203523225,0.26131462879756095,-2.832881411787209,0.024028283948862528,0.7495726269030696,0.24751470588235294,0.16218789328406535,0.9390756302521008,0.8662300458664047,0.7708115207303519
5,dmskw_base_,,gr_roll_base,growing_base,(sm_mean_ct_base + sm_skew_ct_base) + var_era,model_dat_daily,NULL,TRUE,-2181.8265538240603,-2181.6525228923,-2156.3018014625327,0.19627598382225386,0.03513655455491815,0.6604446787488798,0.34925419605358543,-5.475754160135732,0.03213044023568922,0.4815620441338864,0.22879411764705881,0.15575478498337905,0.929541047188106,0.7590314734559588,0.7665821236843964
6,dmskw_hvar_,,gr_roll_hvar,growing_hvar,(sm_mean_ct_hvar + sm_skew_ct_hvar) + var_era,model_dat_daily,NULL,TRUE,-2050.1427389405876,-2049.9688402537117,-2024.6121975745707,0.033618499062393205,0.039427090364006816,0.7264456843077414,0.3829232517509366,-7.131926571962805,0.03416247737920336,0.1969847012946966,-0.0178970588235294,0.15392766873989833,0.9380252100840336,0.6156250095902267,0.6873635293278151
7,dmskw_sknt_,,gr_roll_sknt,growing_sknt,(sm_mean_ct_sknt + sm_skew_ct_sknt) + var_era,model_dat_daily,NULL,TRUE,-2320.98553390721,-2320.8116352203338,-2295.454992541191,0.3637100963927303,0.03160136320905528,0.571758687936037,0.31267284587429456,-3.2309855144993653,0.02651093175442108,0.6244044991621654,0.30522058823529413,0.15389433897578525,0.9537815126050421,0.8167059601959454,0.7489487743189833
8,dmskw_asy_base_,,gr_roll_base_FALSE,growing_base_FALSE,(sm_mean_ct_base_FALSE + sm_skew_ct_base_FALSE) + var_era,model_dat_daily,NULL,TRUE,-580.9250793181234,-580.1174656998107,-563.0392672399543,0.24271410652372297,0.030315285100704265,0.5646250563123797,0.29742807014227496,-26.298334144743112,0.04498043263409862,0.5274208837306208,0.132875,0.3234277089731127,0.7233201581027668,0.8015662633855479,0.7486030126336248
9,dmskw_asy_rsam_,,gr_roll_rsam_FALSE,growing_rsam_FALSE,(sm_mean_ct_rsam_FALSE + sm_skew_ct_rsam_FALSE) + var_era,model_dat_daily,NULL,TRUE,-957.2368412062509,-956.7310020596374,-937.3524588610333,0.36568180571951137,0.02595663531973484,0.4701145278517459,0.25470636280104236,-17.785322194963896,0.03168451044360501,0.6299585730974698,0.25357142857142856,0.23856969129689437,0.8268557422969187,0.8614197989499855,0.7466809060902467
10,dmskw_idel_cr_,,gr_roll_idel,growing_idel,"s(sm_mean_ct_idel, bs='cs') + s(sm_skew_ct_idel, bs='cs') + var_era",model_dat_daily,NULL,TRUE,-2805.010637344199,-2804.4689124373613,-2755.773400461065,0.7301589789132892,0.020460185765700085,0.39387718371448244,0.21032709247444256,-1.1692858499576257,0.017977224165543326,0.8311139991067632,0.3740294117647059,0.2372576771576343,0.9516806722689075,0.9120384541038007,0.7473586235193378
11,dmskw_rknt_cr_,,gr_roll_rknt,growing_rknt,"s(sm_mean_ct_rknt, bs='cs') + s(sm_skew_ct_rknt, bs='cs') + var_era",model_dat_daily,NULL,TRUE,-2496.310265148701,-2495.895207091264,-2454.9771856719885,0.561165824741889,0.026914183522885743,0.4934815328821164,0.26221829313448597,-1.7915505871437976,0.02239389837614138,0.7227754221796172,0.34452941176470586,0.22172647439714144,0.9548319327731093,0.8734581281929038,0.7418461270109622
12,dmskw_rvar_cr_,,gr_roll_rvar,growing_rvar,"s(sm_mean_ct_rvar, bs='cs') + s(sm_skew_ct_rvar, bs='cs') + var_era",model_dat_daily,NULL,TRUE,-2512.938171481671,-2512.186241360538,-2461.0348746802015,0.5416749355554159,0.02660277000227899,0.49629396888693744,0.27218857154303927,-2.3052806749572676,0.023468830973487922,0.7140953939314277,0.2913088235294118,0.25792085034022927,0.9495798319327731,0.8607894742661911,0.7276215898468645
