mdl,idx,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
1,1,dmskw_idel_1_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-07-12'),model_dat_daily %>% filter(coll_date > '2020-07-12' & coll_date <= '2020-07-26'),-498.3003920414544,-497.87486012656086,-487.91991264091683,0.8596749248653359,0.01876032108242394,0.2958367158844363,0.14307345827647625,-2.459772216648783,0.040583792165141665,0.8356586270871985,0.222,0.31313131313131315,0.6428571428571429,0.9519589552238806,0.475,FALSE
1,2,dmskw_idel_2_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-07-26'),model_dat_daily %>% filter(coll_date > '2020-07-26' & coll_date <= '2020-08-09'),-530.7285173257337,-530.3581469553634,-519.8189660508845,0.7845734726055145,0.02231060764101913,0.33426684640030363,0.1914811075441152,-2.6102007545135324,0.03749844692223936,0.7992215050901591,-0.279,0.2831858407079646,0.7857142857142857,0.8970489604292421,0.8333333333333334,FALSE
1,3,dmskw_idel_3_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-08-09'),model_dat_daily %>% filter(coll_date > '2020-08-09' & coll_date <= '2020-08-23'),-577.6194163797709,-577.2915475273119,-566.2426680339365,0.7252325939606226,0.024124513767666098,0.3914978289909675,0.21541334352851005,-3.1806507811491036,0.028283844639019083,0.7997281589801274,-0.112,0.27559055118110237,0.9285714285714286,0.8502109704641351,0.7083333333333333,FALSE
1,4,dmskw_idel_4_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-08-23'),model_dat_daily %>% filter(coll_date > '2020-08-23' & coll_date <= '2020-09-06'),-637.6148901949372,-637.3207725478784,-625.8198506334257,0.6938254789440079,0.024517870051690798,0.4373865908785526,0.24002912455399442,-0.33478215274617584,0.01867664981430902,0.7880131854959544,0.446,0.24822695035460993,1,0.8423868312757201,0.7959183673469388,FALSE
1,5,dmskw_idel_5_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-09-06'),model_dat_daily %>% filter(coll_date > '2020-09-06' & coll_date <= '2020-09-20'),-707.8134924030861,-707.5468257364196,-695.6397919354109,0.6811984173914758,0.024040525379867984,0.4821817085895117,0.23908811094480778,-1.022272208285906,0.03184368242159754,0.7773249148635462,-0.226,0.22580645161290322,0.8571428571428571,0.8426051560379919,0.5384615384615384,FALSE
1,6,dmskw_idel_6_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-09-20'),model_dat_daily %>% filter(coll_date > '2020-09-20' & coll_date <= '2020-10-04'),-762.5250351728531,-762.2811327338287,-750.0054403131608,0.6454754108228642,0.024758203246498984,0.5108807974484285,0.24878685960607352,0.2671114847964321,0.018909549328117642,0.7564832408156454,0.468,0.21301775147928995,1,0.8495786516853933,0.7000000000000001,FALSE
1,7,dmskw_idel_7_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-10-04'),model_dat_daily %>% filter(coll_date > '2020-10-04' & coll_date <= '2020-10-18'),-832.2931274372413,-832.0684083361177,-819.4551828258757,0.6386170147072531,0.024359791505732146,0.5071457474141812,0.2553974361362145,0.451599622691377,0.011890414865812582,0.7481548311678147,0.67,0.20218579234972678,1,0.8458781362007168,0.9230769230769231,FALSE
1,8,dmskw_idel_8_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-10-18'),model_dat_daily %>% filter(coll_date > '2020-10-18' & coll_date <= '2020-11-01'),-907.5449339733385,-907.3366006400053,-894.4121190583887,0.6474842023176428,0.02369108078793076,0.45004506833057184,0.24493696028422182,-0.5650041991936965,0.017793055062362555,0.7573280552317712,-0.336,0.2182741116751269,1,0.8540590787027473,NA,FALSE
1,9,dmskw_idel_9_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-11-01'),model_dat_daily %>% filter(coll_date > '2020-11-01' & coll_date <= '2020-11-15'),-978.8343392412355,-978.6401644839541,-965.4269067073363,0.6476957833138535,0.023344157707812653,0.4506246327003594,0.2518494139549036,-0.19080205076941859,0.012698487958238469,0.7555245703059142,0.389,0.2037914691943128,1,0.8650663757046736,NA,FALSE
1,10,dmskw_idel_10_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-11-15'),model_dat_daily %>% filter(coll_date > '2020-11-15' & coll_date <= '2020-11-29'),-1054.4564307083963,-1054.274612526578,-1040.7920290995787,0.6568524784638181,0.022823768141363464,0.45126610412031565,0.24977996329598565,0.6485831445470566,0.011270994672137156,0.7605896440659883,0.93,0.2088888888888889,1,0.8731525093389638,NA,FALSE
1,11,dmskw_idel_11_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-11-29'),model_dat_daily %>% filter(coll_date > '2020-11-29' & coll_date <= '2020-12-13'),-1131.602549329627,-1131.4316091586868,-1117.696695121901,0.6724691999352894,0.02230277240966295,0.4340648760115009,0.2390359019996989,0.8192669905710036,0.009322604349500992,0.7726523268899679,0.846,0.2175732217573222,1,0.8804842259721203,0.6153846153846154,FALSE
1,12,dmskw_idel_12_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-12-13'),model_dat_daily %>% filter(coll_date > '2020-12-13' & coll_date <= '2020-12-27'),-1208.410023560765,-1208.1671085810078,-1190.7430761171274,0.6785097394921564,0.021777815151408215,0.4322202429400856,0.2354551545221593,0.8641532501397989,0.006735004439266665,0.7790093640115829,0.938,0.2450592885375494,1,0.8818121252498334,0.9777777777777777,FALSE
1,13,dmskw_idel_13_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2020-12-27'),model_dat_daily %>% filter(coll_date > '2020-12-27' & coll_date <= '2021-01-10'),-1288.8460804714607,-1288.6161954139895,-1270.9098371794641,0.6813409279871256,0.021253481450841327,0.44694313273136355,0.23266949151146657,0.7402018844860204,0.00884513462960875,0.7820524156566492,0.745,0.27340823970037453,1,0.8832335329341318,1,FALSE
1,14,dmskw_idel_14_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2021-01-10'),model_dat_daily %>% filter(coll_date > '2021-01-10' & coll_date <= '2021-01-24'),-1369.3700825743988,-1369.1519007562172,-1351.178309227733,0.6849339750756458,0.02078894969877527,0.4355397224164639,0.23409240863643446,0.8819462335283167,0.00855346891685046,0.7895721951524961,0.895,0.2526690391459075,1,0.8896331738437001,1,FALSE
1,15,dmskw_idel_15_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2021-01-24'),model_dat_daily %>% filter(coll_date > '2021-01-24' & coll_date <= '2021-02-07'),-1450.1468883779285,-1449.939275921181,-1431.7120115962296,0.6896923448521975,0.020368539136354197,0.42777205563733994,0.23006797651004543,-1.449118568750539,0.010070387249706034,0.7945498137918541,0.191,0.2542372881355932,1,0.8934782608695652,NA,FALSE
1,16,dmskw_idel_16_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2021-02-07'),model_dat_daily %>% filter(coll_date > '2021-02-07' & coll_date <= '2021-02-21'),-1530.6837660144104,-1530.4857462124303,-1512.0170596299229,0.7007187654717257,0.020001373439379435,0.40287963754972733,0.22968109657946742,-3.6836434238559903,0.02145170802033857,0.8101308066479481,0.653,0.2459546925566343,1,0.9022394487510766,NA,FALSE
1,17,dmskw_idel_17_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2021-02-21'),model_dat_daily %>% filter(coll_date > '2021-02-21' & coll_date <= '2021-03-07'),-1600.9608668247924,-1600.771592376843,-1582.0726052086811,0.7062106552711103,0.019986744401883378,0.38148720819211707,0.22920927412200934,0.07497664291297612,0.012406562583458325,0.8188068226483068,0.525,0.22291021671826625,1,0.9085081585081585,0.5384615384615384,FALSE
1,18,dmskw_idel_18_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2021-03-07'),model_dat_daily %>% filter(coll_date > '2021-03-07' & coll_date <= '2021-03-21'),-1679.6466783110611,-1679.465409428886,-1660.5462636592993,0.7090497278340343,0.019725704147237132,0.37332395747913294,0.22770402335268156,-0.31033703300999393,0.014019118220012337,0.8240630137430869,0.213,0.2195845697329377,1,0.9103980733814988,0.8,FALSE
1,19,dmskw_idel_19_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2021-03-21'),model_dat_daily %>% filter(coll_date > '2021-03-21' & coll_date <= '2021-04-04'),-1757.1292852558395,-1756.9553722123612,-1737.8253541385104,0.705434298206908,0.01952193219825103,0.38198605140993214,0.2260232497925773,-0.46019769116456444,0.012585912857501064,0.8230220351191908,0.226,0.20797720797720798,1,0.9102246825138391,NA,FALSE
1,20,dmskw_idel_20_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily %>% filter(coll_date <= '2021-04-04'),model_dat_daily %>% filter(coll_date > '2021-04-04' & coll_date <= '2021-04-18'),-1835.9248228994632,-1835.7576919802432,-1816.425336131555,0.7037596857151391,0.019300916943714573,0.3860837951213388,0.22454652979134435,-0.29126146561727095,0.012226395812374256,0.8202417446839008,0.218,0.20821917808219179,1,0.9114851365260035,0.48888888888888893,FALSE
