mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,in_cover,out_cover,inf_cover,in_AUC,out_AUC,inf_AUC
1,dmskw_idel_,,gr_roll_idel,growing_idel,(sm_mean_ct_idel + sm_skew_ct_idel) + var_era,model_dat_daily,-5314.165030017818,-5314.058566139491,-5279.402860708075,0.7251299894131995,0.019600035045285152,0.42117759806840427,0.21518636087827422,0.8433535458771818,0.020539130223170887,0.6702280469142275,0.819,0.02537116017523256,0.581779599903171,0.796,0.9556603773584905,0.9558823529411765,0.9121683440073193,0.911773502675796,0.8745716153193895,0.8293209949964714
2,dmskw_rknt_,,gr_roll_rknt,growing_rknt,(sm_mean_ct_rknt + sm_skew_ct_rknt) + var_era,model_dat_daily,-4682.875950615632,-4682.769486737305,-4648.1137813058895,0.5230515378751424,0.026398553629819653,0.5441967670977731,0.27850977949827627,0.7518183480538717,0.02959135370837345,0.352548057243227,0.72,0.04005375080227075,0.021916310220074564,0.686,0.95,0.9537815126050421,0.9002744739249772,0.8770675927675703,0.8497170927194407,0.7994426570710365
3,dmskw_rvar_,,gr_roll_rvar,growing_rvar,(sm_mean_ct_rvar + sm_skew_ct_rvar) + var_era,model_dat_daily,-4788.250375560923,-4788.143911682596,-4753.488206251181,0.5435908214050876,0.025118491912694683,0.524635344467474,0.2797460914867453,0.7460817338158432,0.02738209606980859,0.4086812853868328,0.716,0.035360907216018075,0.1493549114504712,0.7,0.939622641509434,0.9590336134453782,0.9066788655077768,0.8706216078485876,0.8223108396191855,0.7739323647007841
4,dmskw_rsam_,,gr_roll_rsam,growing_rsam,(sm_mean_ct_rsam + sm_skew_ct_rsam) + var_era,model_dat_daily,-4780.425816345178,-4780.31935246685,-4745.663647035437,0.551936347674643,0.025211371287195243,0.5232961059593244,0.27055536056882307,0.7467306137463674,0.02711270961814492,0.4574443918543435,0.695,0.03662396442991306,0.2509746289733057,0.571,0.95,0.9390756302521008,0.8664226898444648,0.8486415821551592,0.8122740335589135,0.7482017445588769
5,dmskw_base_,,gr_roll_base,growing_base,(sm_mean_ct_base + sm_skew_ct_base) + var_era,model_dat_daily,-4174.096550476906,-4173.989985300882,-4139.340988057704,0.2151712932484976,0.03349626866900623,0.6987224120086064,0.3541206028009626,0.5086090249451729,0.03760017883860959,-0.03838423141416336,0.326,0.04833110055128791,-0.2752108087573406,0.165,0.9490084985835694,0.9295478443743428,0.8606782768102658,0.7523315969744542,0.6604092164430124,0.6117849080167155
6,dmskw_hvar_,,gr_roll_hvar,growing_hvar,(sm_mean_ct_hvar + sm_skew_ct_hvar) + var_era,model_dat_daily,-3940.3703381627765,-3940.2638742844497,-3905.6081688530508,0.03467387769706043,0.0374702662454023,0.7663260262873648,0.38748312380429367,0.2510804149091535,0.0410787439223097,-0.23085265753052764,0.036,0.05370112082240944,-0.5992370555628062,0.032,0.9367924528301886,0.9380252100840336,0.8709972552607502,0.6362343146889999,0.5352200674685177,0.5475451895043731
7,dmskw_sknt_,,gr_roll_sknt,growing_sknt,(sm_mean_ct_sknt + sm_skew_ct_sknt) + var_era,model_dat_daily,-4469.642873221474,-4469.536409343146,-4434.880703911731,0.40735370299760376,0.029191887991920365,0.6010810723284101,0.3019942063154178,0.6617795878681912,0.03094151033966352,0.30093977326779464,0.591,0.037808312750361756,0.2033434968823633,0.542,0.9556603773584905,0.9537815126050421,0.9231473010064044,0.8227492863786523,0.7798024425445894,0.7274364349836048
8,dmskw_asy_base_,,gr_roll_base_FALSE,growing_base_FALSE,(sm_mean_ct_base_FALSE + sm_skew_ct_base_FALSE) + var_era,model_dat_daily,-967.6357749387114,-967.2209601238966,-942.242427142877,0.03438341451619931,0.041400161279477564,0.8635953106474797,0.4376800954522741,0.28970566390973995,0.05325792254069433,-0.4892666519637392,0.131,0.045062562351747354,-0.43579381983055554,0.096,0.9496402877697842,0.708171206225681,0.7176938369781312,0.6969665543168265,0.6169708029197081,0.5210097147984862
9,dmskw_asy_rsam_,,gr_roll_rsam_FALSE,growing_rsam_FALSE,(sm_mean_ct_rsam_FALSE + sm_skew_ct_rsam_FALSE) + var_era,model_dat_daily,-1707.4777379410195,-1707.1963309058438,-1679.4332658238075,0.3922277383825804,0.02904279031246352,0.6028223892932133,0.31167216235096956,0.6434672971562545,0.03642447057848436,0.09417062418029276,0.459,0.0368099614968782,-0.0860485980734993,0.183,0.9679802955665024,0.8373333333333334,0.815742397137746,0.8398760077433899,0.7658648633224904,0.6474948875255624
10,dmskw_idel_cr_,,gr_roll_idel,growing_idel,"s(sm_mean_ct_idel, bs='cs') + s(sm_skew_ct_idel, bs='cs') + var_era",model_dat_daily,-5349.333517848322,-5348.892263328136,-5276.396068398375,0.7363510663862542,0.019138275491173945,0.41125502499971583,0.21011675983825628,0.8461425085700199,0.020633743560026018,0.6671828655734098,0.813,0.025379536712293572,0.5815033951911148,0.789,0.9575471698113207,0.9516806722689075,0.9002744739249772,0.915893124824195,0.8673398636235161,0.809996748895814
11,dmskw_rknt_cr_,,gr_roll_rknt,growing_rknt,"s(sm_mean_ct_rknt, bs='cs') + s(sm_skew_ct_rknt, bs='cs') + var_era",model_dat_daily,-4831.5308815077615,-4831.244997039306,-4773.203527427303,0.5876558521755146,0.024500959754299407,0.505078546198119,0.2584898019169502,0.7634693693869818,0.02856272780305714,0.39677791375089466,0.709,0.03914703704087787,0.06569767975434726,0.654,0.9452830188679245,0.9548319327731093,0.898444647758463,0.8889267236922331,0.8409893369112351,0.7709177653516647
