mdl,plot_label,group_vars,gr_var,direct_var,model,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC
0.1,dmskw_cr_0.1_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1016.0117606378088,-1015.4254557409001,-987.3833443585117,0.11529136304164936,0.0508216682125821,0.9549140841393395,0.442557846982681,-5.232052693733809,0.046097720925978754,0.43586060808374794,0.00884545088720942,0.3386715709471396,0.931935091810745,0.7777385898023325,0.7222246022756132
0.25,dmskw_cr_0.25_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1556.7979002689294,-1556.2693701738235,-1520.1201452465466,0.19334014942375888,0.045887472250540864,0.8543696493099973,0.39777607931077935,-3.0712093560950753,0.04305310558127928,0.5214406504707808,-0.005537207567151825,0.2796920465598247,0.9367400453272238,0.7944370345962893,0.7121091988638446
0.5,dmskw_cr_0.5_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1718.156523367219,-1717.5995506402744,-1676.5132502908145,0.24112579293765518,0.04549407758000185,0.843740357077012,0.3928444600332572,-2.760775437746002,0.04332504582900466,0.564465592616307,-0.0031485406185853947,0.27865837009859884,0.9351912097335878,0.8109408065026833,0.7077864042778443
0.75,dmskw_cr_0.75_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1785.8201470213578,-1785.1692235954602,-1740.45590716201,0.24554489038379598,0.045405019280176796,0.8415308528026489,0.3922186638395799,-2.8064537881753435,0.04330816004965537,0.571917795293265,-0.014743418801713358,0.28008757562085035,0.9345922936037071,0.8168353608497995,0.701815189549229
100,dmskw_cr_25_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1825.0769114462591,-1824.4433101639283,-1780.8527666131256,0.22046138843622617,0.0459589726448744,0.8511838286269343,0.39709310418299254,-3.3718158131351412,0.04470866821998696,0.543509100763069,6.838235294117512e-5,0.27053179592932863,0.9271568627450981,0.8037452102249063,0.6888475500286017
25,dmskw_cr_50_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1822.0288092185165,-1821.4817679694486,-1779.3992805876119,0.21152550117196967,0.046247618916199974,0.8563706032269581,0.39958238930614254,-2.563346235045004,0.04363999103815432,0.529609655407328,-0.012273823529411766,0.26013160745794306,0.9322093837535014,0.79175212074091,0.7109223273970298
50,dmskw_cr_100_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1824.459628244416,-1823.8475965108983,-1780.5437791626496,0.21810558911196676,0.04603399982482516,0.8525174202002236,0.3977423623363032,-3.0176216763386994,0.044281380961089106,0.5399548097536029,-0.005486764705882353,0.2686231389277891,0.9291946778711485,0.8007268550209924,0.6961106284037831
t0.025,dmskw_cr_t0.025_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1810.369974868815,-1809.563769583177,-1760.8829854522394,0.2738969897075492,0.044403529501758215,0.8229473712207512,0.38346047050846743,-2.722517242704483,0.04263585883150215,0.6148864262001797,0.042791044776119405,0.3075199196411527,0.9337242359630419,0.8441081309182521,0.7054116346870468
t0.05,dmskw_cr_t0.05_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1812.4779545456033,-1811.6198851466747,-1762.3846050134593,0.27751125434718094,0.04428144867118365,0.8205550344109898,0.38235072460494524,-2.5385983751965426,0.04225647025382407,0.6186837121102428,0.06492537313432836,0.3058666249108875,0.9379886282871358,0.8466943083388668,0.7121517009394757
t0.1,dmskw_cr_t0.1_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1763.5920083029341,-1762.822829047061,-1716.1922634403907,0.2750179124050251,0.04470784512616647,0.8285335781337608,0.3860178694223867,-2.5734075184744674,0.04269348861121652,0.6062381373498247,0.086,0.2925978839825981,0.9337242359630419,0.8421931538260222,0.705886989605477
