mdl,plot_label,group_vars,gr_var,direct_var,model,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,comp_RMSE,comp_R2,comp_spear,in_cover,out_cover,inf_cover,comp_cover,in_AUC,out_AUC,inf_AUC,comp_AUC,comp_gr_n,comp_dir_n
0.1,dmskw_cr_0.1_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-1992.4658709223806,-1992.104079894347,-1948.7956020851084,0.08791235871081603,0.04866756278295944,1.0070952715884822,0.44397757276149247,0.38010395700109667,0.05638802022256785,-0.2001739327428098,0.13692000000000001,0.07413911085966005,-0.1459734457587065,0.10556,0.05248098731952174,-0.020791227685632793,0.32083,0.9473756645130234,0.9272518237673933,0.8582404090138144,0.9320239960983392,0.7188094130809585,0.615207582567711,0.5860433967310861,0.7139523710864945,582.54,582.54
0.25,dmskw_cr_0.25_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3105.22790470289,-3104.9333168742724,-3052.6461082073492,0.15682783447548676,0.04447154272327423,0.935190686970879,0.40869694559899056,0.47935630783261485,0.04944928081195903,-0.05201700712002169,0.3231,0.06576060177100497,-0.07670487556708924,0.24836,0.049201758099391146,-0.042036500464132334,0.38916,0.9483007517415261,0.9389474199368593,0.8815191909503549,0.9422898986350606,0.7595572994470083,0.6976773527110085,0.6711122863083459,0.7288402142135584,860.02,860.02
0.5,dmskw_cr_0.5_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3345.4728871463085,-3345.1469846365217,-3286.783444936679,0.20479575308479947,0.04429249073579307,0.9317746746001191,0.40675080396456265,0.5343411477899747,0.05010332750677048,-0.03559398552445698,0.37287,0.06464016530396541,-0.03622311676049591,0.29456,0.05162857929514611,-0.09857118151623728,0.39992,0.9489267112032626,0.9361195690056118,0.8847669703766339,0.9359336201172482,0.7845514192242692,0.7180500960903514,0.7056022856192026,0.7293967883546566,909.84,909.84
0.75,dmskw_cr_0.75_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3439.1335472612295,-3438.7770427440882,-3375.7329955616447,0.20889149329208417,0.044468725328065374,0.935432653599966,0.4083401259333681,0.5449374660846722,0.05061726193257378,-0.034806808977603645,0.39917,0.064182122974306,-0.003227525911377558,0.32414,0.05180050592347856,-0.08295165277085713,0.41022,0.9494669876165498,0.9347207454878405,0.8857280012268647,0.9349032458698598,0.7926766706769081,0.736404824918663,0.7271728362840946,0.7312440363763884,927.64,927.64
100,dmskw_cr_25_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3487.538285808448,-3487.2418751827718,-3428.9727633320344,0.18114808463742613,0.04524314741634792,0.9517231972057069,0.41545136221733897,0.5051621215948593,0.05245822666315101,-0.1072011226155898,0.38966,0.06469705748783931,-0.02788097957633883,0.32824000000000003,0.05229974237338457,-0.10038590561717142,0.398,0.947316141356256,0.9298940677966102,0.8762323943661972,0.9311440677966102,0.7726763770605651,0.7214665625182372,0.7202772516835017,0.7231424992929578,944,944
25,dmskw_cr_50_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3491.832748345368,-3491.5288365771585,-3432.2987213667075,0.1847089917012766,0.04514158814548523,0.9495868225392443,0.4145187803826266,0.5165832540690348,0.05018243586020981,-0.013490397488929665,0.37475,0.06399708072011942,-0.005816639823166766,0.32648,0.05229974237338457,-0.10038590561717142,0.398,0.94810888252149,0.934989406779661,0.8797535211267606,0.9311440677966102,0.7810651705106181,0.7140604420023433,0.7169386574074074,0.7231424992929578,944,944
50,dmskw_cr_100_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3492.4373185188188,-3492.1301810895848,-3432.498801523697,0.1852686482592356,0.04512484888219143,0.9492346997075979,0.4143650698179321,0.5208912633885012,0.05150955584984389,-0.06804037391932438,0.3842,0.0644337015190664,-0.019578725045481308,0.32718,0.05229974237338457,-0.10038590561717142,0.398,0.9481184336198663,0.9319491525423729,0.8769014084507042,0.9311440677966102,0.7842065133959575,0.7180126953344197,0.7177493686868687,0.7231424992929578,944,944
t0.025,dmskw_cr_t0.025_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3478.1845837260685,-3477.787086035909,-3410.7125769762533,0.23150465216825433,0.04376330868857096,0.920593690843384,0.40186254157983486,0.5750881449129777,0.050178491077738176,-0.01729433014951809,0.431,0.06360445875997339,0.01574146986585656,0.347,0.051613998582491584,-0.07633246557571671,0.416,0.9492682926829268,0.9333333333333333,0.8864468864468864,0.9354838709677419,0.8131237981869792,0.7495247214243093,0.7207310108509423,0.730185162057274,930,930
t0.05,dmskw_cr_t0.05_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3492.4296728211852,-3491.944485546959,-3417.6924403477424,0.24315200135794657,0.043397850899235244,0.9129060149063064,0.3985066756623899,0.5839034343422883,0.049623266468329555,0.0050938259203240355,0.436,0.06320750614958681,0.027988561257464184,0.353,0.051613998582491584,-0.07633246557571671,0.416,0.9502439024390243,0.9376344086021505,0.8901098901098901,0.9354838709677419,0.8165499191160761,0.7479659002076886,0.7169046259280412,0.730185162057274,930,930
t0.1,dmskw_cr_t0.1_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",-3437.998175538886,-3437.5236824733506,-3364.945412180241,0.24879408688787163,0.043398511332824685,0.9129199076172069,0.39851274018376065,0.590717109416766,0.049597615420747594,0.010433466117230505,0.397,0.06420567213122638,0.003015269836610046,0.3,0.05173509803747067,-0.07669812998644332,0.413,0.9514370664023786,0.9326818675352877,0.8810408921933085,0.9359391965255157,0.8158402203856749,0.725569210744737,0.7020710059171598,0.7348666339696672,921,921
