plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-1678.9099060985495,-1678.7341738809762,-1653.805012752925,0.17033338894702033,0.0423348514011016,0.848760789922668,0.3798879714699744,0.17033338894702033,0.0423348514011016,0.4272012482664552,NA,0.9484536082474226,NA,0.7348510638297873,0.7348510638297873,NA
dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,NULL,-1677.5558673527282,-1677.3210665141537,-1648.2668251161658,0.16970789361082994,0.04230666833912921,0.8481957548002935,0.37963507330479446,0.16970789361082994,0.04230666833912921,0.43374925951270066,NA,0.9505154639175257,NA,0.7423574468085107,0.7423574468085107,NA
dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,-1663.9829340491228,-1663.8996007157896,-1647.246338485373,0.14089545404878023,0.04316901529350164,0.865484732036706,0.38737326593705507,0.14089545404878023,0.04316901529350164,0.34612084266641313,NA,0.9422680412371134,NA,0.694936170212766,0.694936170212766,NA
dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,-1689.661775564909,-1689.197640543812,-1647.8202866555341,0.1950915470127671,0.041524301444279474,0.8325102776649059,0.3726145745243973,0.1950915470127671,0.041524301444279474,0.4491339986957096,NA,0.9463917525773196,NA,0.7512425531914894,0.7512425531914894,NA
dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,-1682.8106466550062,-1682.634914437433,-1657.7057533093812,0.1769794395924753,0.04216494864190185,0.8453544522284091,0.37836336438140755,0.1769794395924753,0.04216494864190185,0.4128837914742517,NA,0.9484536082474226,NA,0.7095404255319149,0.7095404255319149,NA
dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,-1680.5177657981046,-1680.3925048377705,-1659.5970213434173,0.17138857557973564,0.04235196950158623,0.8491039864146469,0.3800415792010353,0.17138857557973564,0.04235196950158623,0.42098273606807823,NA,0.9505154639175257,NA,0.7109191489361703,0.7109191489361703,NA
dmskw_asy_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_skew_ct_FALSE) + var_era,model_dat_daily,NULL,-602.3187483386505,-601.9008378908893,-582.2935198604425,0.11916001271310106,0.0552621919784958,1.1087748064519063,0.494892098833851,0.11916001271310106,0.0552621919784958,0.46910281997805886,NA,0.9471153846153846,NA,0.7326732673267327,0.7326732673267327,NA
dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-1690.9069218956195,-1690.4468798431706,-1649.2570266744312,0.198941080501439,0.04147494831603811,0.831520809207478,0.37217170867857974,0.198941080501439,0.04147494831603811,0.45501817323290533,NA,0.9463917525773196,NA,0.7541702127659574,0.7541702127659574,NA
dmskw_a_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era + sm_mean_age",model_dat_daily,NULL,-1688.8906189574313,-1688.33654427528,-1643.038093488027,0.19734533366607332,0.0414752676723066,0.8315272119009973,0.37217457439325685,0.19734533366607332,0.0414752676723066,0.4590795579854199,NA,0.9484536082474226,NA,0.7567914893617022,0.7567914893617022,NA
dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,NULL,-1671.8431340468164,-1671.5784439761765,-1640.6408272766746,0.1626756958126534,0.04251646102075014,0.8524018355181756,0.38151762901510333,0.1626756958126534,0.04251646102075014,0.36661668433961736,NA,0.9422680412371134,NA,0.7096765957446808,0.7096765957446808,NA
