mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,daily,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC
1,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,TRUE,-965.2447816061194,-964.8985465468043,-945.3809535324834,0.20529929706004882,0.03828567101482518,0.6568344953905504,0.3168777358347017,-2.6767845484617916,0.04277706104838915,0.43080282301861245,-0.02806666666666666,0.25240585935918464,0.862408424908425,0.7423374668321336,0.784681092716807
2,dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,NULL,TRUE,-970.8878173469503,-970.4093685956612,-947.5392398147455,0.24356685029666075,0.03743698119537062,0.6423777275918039,0.30972056618322924,-2.610371810050151,0.04302498884293438,0.49893867846798734,-0.038566666666666666,0.27409481482126646,0.8581158424908425,0.7800182470678806,0.8074184248291392
3,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,TRUE,-958.2978855302472,-958.0948505001936,-944.3588876959723,0.17080008542252748,0.03918251390542581,0.6718705604872004,0.3242287381820988,-2.646279289383832,0.0413241926783724,0.3862973001109838,-0.036899999999999995,0.1879740172061539,0.8785485347985348,0.7168186373955496,0.7523979575318861
4,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,TRUE,-999.7823686773336,-999.0396550796894,-967.5751107508066,0.23962068946298243,0.03729077812736636,0.6418851844375796,0.30924985721550213,-8.141591974233195,0.04958839740163886,0.4743417450447301,-0.07196551724137931,0.3144343888593239,0.8624010398203946,0.7780082557170285,0.7197038906860336
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,TRUE,-969.2059576949141,-968.8597226355989,-949.3421296212779,0.21846402464665965,0.03796137258642526,0.6515811843196245,0.3142203170134956,-2.619551447867553,0.04242280052673603,0.4436303612972058,0.02543333333333334,0.23810974232565751,0.8696199633699634,0.7408336466287696,0.7737224828742686
6,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,TRUE,-964.0587387877865,-963.8225517527436,-947.6796601727191,0.1922394661306217,0.0386005113715888,0.6625118523428944,0.31952899232809684,-2.695462848833796,0.04257812131064773,0.40961281128757465,-0.055766666666666666,0.22790327524752527,0.8739125457875457,0.7185633095391135,0.7223833705976563
7,dmskw_asy_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_skew_ct_FALSE) + var_era,model_dat_daily,NULL,TRUE,-341.8235213929991,-340.83749282731384,-327.50344711825056,0.16953099218479833,0.04205612930085561,0.7182969261477669,0.34560378389564067,-7.9348815960347885,0.055790136327792936,0.4271623551757086,0.05623076923076923,0.41269177362926357,0.8013634513634513,0.7160010832874378,0.7085689036238487
8,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,TRUE,-971.8738413437806,-971.1244535948887,-942.2135338796595,0.2351819670282058,0.037393201294847,0.6421041350630775,0.30960103130682476,-2.5498211477881556,0.042046963097219406,0.46674767126047034,-0.006266666666666666,0.2895205805754282,0.865728021978022,0.7597504574273538,0.7226086083228941
9,dmskw_a_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era + sm_mean_age",model_dat_daily,NULL,TRUE,-979.6396140957905,-978.6781507505559,-946.364867676147,0.28056151219476366,0.03634903324300418,0.6243985129876808,0.30079396644545514,-2.4437937081247654,0.04220288008658049,0.541244595455636,-0.050833333333333335,0.32161631292426707,0.8408310439560439,0.8176307524862522,0.7599070654874226
10,dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,NULL,TRUE,-965.4599771719378,-964.7232482714079,-941.7069926008875,0.21666616294898886,0.03791170943006617,0.6514669676918103,0.3140130208410124,-2.9888028747430146,0.04238388583207415,0.42100709851025775,-0.034,0.24211852808929088,0.8746565934065934,0.7332893124785397,0.7521482320589463
11,dmskv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily,NULL,TRUE,-998.1209129895473,-996.6693531654071,-956.8187208947999,0.31071366214934815,0.03519542028470895,0.6050667196464392,0.29171166236349144,-5.995428315429861,0.04679068104372851,0.5054215083507451,-0.043866666666666665,0.3024098145973959,0.84375,0.7842374235807661,0.7340018777518778
12,dmsdw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily,NULL,TRUE,-969.5903882792096,-969.0620759307428,-943.9992983865853,0.2263013686337601,0.037707721781121604,0.6474405439704768,0.312186690279947,-2.777289559248698,0.04317458327649758,0.4423227556152441,0.04630000000000001,0.2548409739234042,0.8627518315018315,0.7504432710071657,0.7474787448001734
