mdl,idx,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
1,4,dmskw_4_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-07-11'),model_dat_daily %>% filter(coll_date > '2021-07-11' & coll_date <= '2021-07-25'),-318.3399313866843,-317.7338707806239,-309.2892118785203,0.04213088388014652,0.024304176667193676,0.45891983961695926,0.2503379846568663,-8.324485585716918,0.07881253172036538,0.19117673407938632,NA,0.29577464788732394,0.3333333333333333,0.6675213675213675,NA,FALSE
1,5,dmskw_5_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-07-25'),model_dat_daily %>% filter(coll_date > '2021-07-25' & coll_date <= '2021-08-08'),-343.15538234806183,-342.31031192552666,-331.43635523879385,0.4557759069513515,0.02442482363637559,0.3844578978797364,0.19451351085704663,-2.9768067546676713,0.04644585743453144,0.3656020614941734,0.275,0.2987012987012987,0.6923076923076923,0.7298611111111111,NA,FALSE
1,6,dmskw_6_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-08-08'),model_dat_daily %>% filter(coll_date > '2021-08-08' & coll_date <= '2021-08-22'),-395.41486468527614,-394.7005789709905,-382.91581633362546,0.5055502084299978,0.025444813792379544,0.3726709229872303,0.19635883997157025,-8.966224245845499,0.03636081450754957,0.5641968061685114,0.33,0.36666666666666664,0.9285714285714286,0.8079012345679013,0.6153846153846154,FALSE
1,7,dmskw_7_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-08-22'),model_dat_daily %>% filter(coll_date > '2021-08-22' & coll_date <= '2021-09-05'),-457.7723784790451,-457.1601335810859,-444.5504239833382,0.44287576462789624,0.025531451390082772,0.39826825617974276,0.20410434138590267,-4.332878101390116,0.024987055594803763,0.6211629563120467,0.539,0.2980769230769231,1,0.8354572713643178,0.6666666666666666,FALSE
1,8,dmskw_8_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-09-05'),model_dat_daily %>% filter(coll_date > '2021-09-05' & coll_date <= '2021-09-19'),-526.2662275231787,-525.7305132374644,-512.4128044008506,0.4079817412290162,0.024940730306821958,0.4172797598249116,0.2033674135306595,-0.20789112798067255,0.056319356318448685,0.6304430991389519,-0.122,0.2711864406779661,0.5714285714285714,0.8505952380952381,0.625,FALSE
1,9,dmskw_9_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-09-19'),model_dat_daily %>% filter(coll_date > '2021-09-19' & coll_date <= '2021-10-03'),-545.7638371719094,-545.2876466957189,-531.3498275589784,0.28571433698798665,0.029478190825545814,0.4916238982915408,0.23887429303261273,-18.979145408455214,0.041304726448012447,0.5675346778726896,-0.002,0.3106060606060606,0.9285714285714286,0.7953477443609023,0.9230769230769231,FALSE
1,10,dmskw_10_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-10-03'),model_dat_daily %>% filter(coll_date > '2021-10-03' & coll_date <= '2021-10-17'),-596.2056097743395,-595.7770383457681,-581.2875766657987,0.19938072123600858,0.03034919936104204,0.530548350383192,0.2502082364013833,-0.8062322199543648,0.023367757591388264,0.45220757061262873,0.197,0.3013698630136986,0.9285714285714286,0.7075098814229249,0.5714285714285714,FALSE
1,11,dmskw_11_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-10-17'),model_dat_daily %>% filter(coll_date > '2021-10-17' & coll_date <= '2021-10-31'),-660.7244465379816,-660.3348361483713,-645.3485774618132,0.18533631305075104,0.029749218131324823,0.56472425029288,0.24828946413852662,-0.10326368606290726,0.021693395490985347,0.43283948635384845,-0.031,0.3,1,0.6976817042606517,0.5303030303030303,FALSE
1,12,dmskw_12_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-10-31'),model_dat_daily %>% filter(coll_date > '2021-10-31' & coll_date <= '2021-11-14'),-726.2356286779558,-725.878485820813,-710.4403521818834,0.18627036541501807,0.029171643462510385,0.5775114861715624,0.24651558075296062,-5.784814419910385,0.040481458330442366,0.4273838428033991,-0.184,0.28735632183908044,0.7857142857142857,0.71548421191703,NA,FALSE
1,13,dmskw_13_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-11-14'),model_dat_daily %>% filter(coll_date > '2021-11-14' & coll_date <= '2021-11-28'),-777.5063807506241,-777.1767104209538,-761.3241709364744,0.15514344061427565,0.02979631958660683,0.5702743681223834,0.25382782242783236,0.04739716271072025,0.049180548400414165,0.3989201010569797,0.159,0.25,0.9285714285714286,0.6913053374302948,0.8181818181818181,FALSE
1,14,dmskw_14_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-11-28'),model_dat_daily %>% filter(coll_date > '2021-11-28' & coll_date <= '2021-12-12'),-813.4178884323095,-813.11176598333,-796.8765499453048,0.1446263673202146,0.03152098944751911,0.5957733446490534,0.26997331803278263,-0.5712696532393273,0.07408135224863732,0.40752673426342734,-0.855,0.24257425742574257,0.7142857142857143,0.7030257936507937,0.9242424242424242,FALSE
1,15,dmskw_15_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-12-12'),model_dat_daily %>% filter(coll_date > '2021-12-12' & coll_date <= '2021-12-26'),-820.1935747323649,-819.7916608567668,-799.94190428626,0.09915379071050201,0.03524919634212042,0.6691977022635728,0.30243147995648334,-0.5835921185917188,0.05468866896096153,0.38440989679782966,-0.145,0.2638888888888889,0.7857142857142857,0.6815281056036366,0.9166666666666666,FALSE
1,16,dmskw_16_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2021-12-26'),model_dat_daily %>% filter(coll_date > '2021-12-26' & coll_date <= '2022-01-09'),-862.1075471946597,-861.7308655803099,-841.4790713411205,0.0937498633108742,0.036182766702139116,0.6749247869050587,0.314029547405349,-1.0215369749846541,0.08786182584531878,0.36134187341743507,-0.592,0.24782608695652175,0.6428571428571429,0.6994152046783626,0.9230769230769231,FALSE
1,17,dmskw_17_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2022-01-09'),model_dat_daily %>% filter(coll_date > '2022-01-09' & coll_date <= '2022-01-23'),-867.3300836238668,-866.9756532441199,-846.3470742721084,0.14068721890026747,0.039921332762181724,0.7183281382222317,0.3359063295116897,-4.997985680232341,0.11661258195654192,0.42135731273765337,-0.011,0.25,0.35714285714285715,0.7186092342342343,0.8461538461538461,FALSE
1,18,dmskw_18_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2022-01-23'),model_dat_daily %>% filter(coll_date > '2022-01-23' & coll_date <= '2022-02-06'),-855.3596147017947,-855.024953347213,-834.0418571922651,0.06786260492647012,0.04505514842196961,0.79237617213981,0.36350647994081675,-2.392974385552782,0.09511223466833034,0.323488692365505,0.062,0.2558139534883721,0.42857142857142855,0.6747737208299982,0.9230769230769231,FALSE
1,19,dmskw_19_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2022-02-06'),model_dat_daily %>% filter(coll_date > '2022-02-06' & coll_date <= '2022-02-20'),-870.1776834211526,-869.860702289077,-848.5428710233766,0.12580241615136434,0.04780673802502724,0.7782764993161037,0.37509855559375427,-0.27600819601299453,0.0378453982528851,0.35227055891347336,-0.007,0.2426470588235294,1,0.699672131147541,NA,FALSE
1,20,dmskw_20_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2022-03-13'),model_dat_daily %>% filter(coll_date > '2022-03-13' & coll_date <= '2022-03-27'),-924.6636177930953,-924.3636177930954,-902.7067244985376,0.19078773774689117,0.04732310226848345,0.7343654878720355,0.3542420654378842,-2.9617120770945857,0.028481701479777303,0.4182393011488324,NA,0.24738675958188153,1,0.7295863746958637,NA,FALSE
1,21,dmskw_21_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2022-03-27'),model_dat_daily %>% filter(coll_date > '2022-03-27' & coll_date <= '2022-04-10'),-944.7076652158338,-944.4129283737285,-922.6471424022246,0.19416196404758423,0.04702214631398885,0.7397580012156293,0.35903413602781875,-5.168417288176035,0.031899638669727975,0.42450497719841496,-0.218,0.2328767123287671,1,0.7386861313868613,NA,FALSE
1,22,dmskw_22_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2022-04-10'),model_dat_daily %>% filter(coll_date > '2022-04-10' & coll_date <= '2022-04-24'),-994.6534496511629,-994.371570456532,-972.3315789915189,0.1936091512305833,0.046458767043690966,0.7212749857796924,0.3602780253849011,-0.08960099624732143,0.03156716611391287,0.42065808795503146,-0.065,0.2262295081967213,1,0.7541710114702815,0.7083333333333333,FALSE
1,23,dmskw_23_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2022-04-24'),model_dat_daily %>% filter(coll_date > '2022-04-24' & coll_date <= '2022-05-08'),-1048.4908743294495,-1048.2216435602188,-1025.8997277127412,0.19367226545786476,0.045906436867877265,0.7235580005655604,0.3637733083866449,-0.38127300829509436,0.023374500522216853,0.41530256369231944,0.084,0.2225705329153605,1,0.7608313349320543,NA,FALSE
1,24,dmskw_24_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date <= '2022-05-08'),model_dat_daily %>% filter(coll_date > '2022-05-08' & coll_date <= '2022-05-22'),-1105.760708557317,-1105.5030398456606,-1082.9118536174344,0.20065202934004434,0.045172900634665406,0.7213433629481724,0.3652886907517673,-0.3839994141287062,0.03268610335247007,0.42470221426711374,0.883,0.21621621621621623,1,0.7763109100348587,1,FALSE
