mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,in_cover,out_cover,inf_cover,in_AUC,out_AUC,inf_AUC
1,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,-1678.9099060985495,-1678.7341738809762,-1653.805012752925,0.17033338894702033,0.0423348514011016,0.848760789922668,0.3798879714699744,0.4272012482664552,0.04992550682679636,-0.038592539330811526,0.281,0.05952977519704681,-0.07991210489252332,0.161,0.9484536082474226,0.864406779661017,0.7727272727272727,0.7348510638297873,0.7019203514739228,0.6130226480836237
2,dmskw_a_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily,-1677.5558673527282,-1677.3210665141537,-1648.2668251161658,0.16970789361082994,0.04230666833912921,0.8481957548002935,0.37963507330479446,0.43374925951270066,0.050372138741006,-0.05725808645946784,0.27,0.05960988205811219,-0.08282045030810936,0.159,0.9505154639175257,0.8595641646489104,0.7636363636363637,0.7423574468085107,0.7014006991685563,0.5703397212543554
3,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,-1663.9829340491228,-1663.8996007157896,-1647.246338485373,0.14089545404878023,0.04316901529350164,0.865484732036706,0.38737326593705507,0.34612084266641313,0.047181361119127685,0.07244180905112751,0.298,0.05818903975638477,-0.03181611193681855,0.094,0.9422680412371134,0.8813559322033898,0.7909090909090909,0.694936170212766,0.6630881519274376,0.6252177700348432
4,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,-1689.661775564909,-1689.197640543812,-1647.8202866555341,0.1950915470127671,0.041524301444279474,0.8325102776649059,0.3726145745243973,0.4491339986957096,0.05536801971382402,-0.28071262870223324,0.162,0.05824890251494106,0.0015316462054686397,0.024,0.9463917525773196,0.865,0.8095238095238095,0.7512425531914894,0.693811279119336,0.6491187384044527
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,-1682.8106466550062,-1682.634914437433,-1657.7057533093812,0.1769794395924753,0.04216494864190185,0.8453544522284091,0.37836336438140755,0.4128837914742517,0.0492640368483182,-0.01125393974710387,0.269,0.05828609906542791,-0.0352611209004694,0.093,0.9484536082474226,0.8716707021791767,0.7909090909090909,0.7095404255319149,0.6541123393801965,0.5725174216027874
6,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,-1680.5177657981046,-1680.3925048377705,-1659.5970213434173,0.17138857557973564,0.04235196950158623,0.8491039864146469,0.3800415792010353,0.42098273606807823,0.049449676128117744,-0.018889617580766682,0.293,0.05851993751299009,-0.04358452789649614,0.166,0.9505154639175257,0.8765133171912833,0.8,0.7109191489361703,0.6815594293272864,0.5969076655052264
7,dmskw_asy_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_skew_ct_FALSE) + var_era,model_dat_daily,-602.3187483386505,-601.9008378908893,-582.2935198604425,0.11916001271310106,0.0552621919784958,1.1087748064519063,0.494892098833851,0.46910281997805886,0.06982155807262969,-0.24758257501723402,0.134,0.0773019163552784,-0.11296923778354495,0.127,0.9471153846153846,0.75,0.7678571428571429,0.7326732673267327,0.6550071022727273,0.6133040935672515
8,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,-1690.9069218956195,-1690.4468798431706,-1649.2570266744312,0.198941080501439,0.04147494831603811,0.831520809207478,0.37217170867857974,0.45501817323290533,0.04971853513744963,-0.02999918906118393,0.266,0.05906006000778847,-0.06293740933004899,0.149,0.9463917525773196,0.864406779661017,0.7909090909090909,0.7541702127659574,0.685433201058201,0.5842770034843205
9,dmskw_a_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era + sm_mean_age",model_dat_daily,-1688.8906189574313,-1688.33654427528,-1643.038093488027,0.19734533366607332,0.0414752676723066,0.8315272119009973,0.37217457439325685,0.4590795579854199,0.0503221056233323,-0.05515884475070432,0.267,0.058806823187310696,-0.05384165805970942,0.171,0.9484536082474226,0.837772397094431,0.7818181818181819,0.7567914893617022,0.6808035714285714,0.5485627177700348
10,dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,-1671.8431340468164,-1671.5784439761765,-1640.6408272766746,0.1626756958126534,0.04251646102075014,0.8524018355181756,0.38151762901510333,0.36661668433961736,0.0485522337407901,0.017757629063129388,0.221,0.058764802399963824,-0.052336137700983665,0.073,0.9422680412371134,0.87409200968523,0.8181818181818182,0.7096765957446808,0.6394675925925926,0.6060540069686411
